"共同受注窓口情報／No.","共同受注窓口情報／区市町村","共同受注窓口情報／共同受注窓口名","共同受注窓口情報／電話","共同受注窓口情報／担当者名","共同受注窓口情報／ホームページ","共同受注窓口情報／Email","今後販売・受注可能な作業／製品・サービスの内容／内容","今後販売・受注可能な作業／分類","今後販売・受注可能な作業／提供可能総量／最小","今後販売・受注可能な作業／提供可能総量／最大","今後販売・受注可能な作業／納期","今後販売・受注可能な作業／販売・契約参考単価","今後販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","新宿区","新宿区障害者福祉事業所等ネットワーク（しんじゅQuality）","03-5273-3852","田村","","sakae.tamura@sksc.or.jp","ロゴ入りボールペン製作","事務用品","","約100本/月","1ヶ月程度","２５０円～/本","自力での納品可","無","有","有","イベント等の記念品として、社名や団体を象徴するロゴマーク等の名入りボールペンを製作請け負いしている。（個包装のラッピング可）"
"2","新宿区","新宿区障害者福祉事業所等ネットワーク（しんじゅQuality）","03-5273-3852","田村","","sakae.tamura@sksc.or.jp","住所録、手書き原稿領収書等帳票の入力","データ入力","","","約2週間～3週間程度","住所録0.35円～/1文字原稿入力0.5円～/1文字","自力での納品可","無","無","有","会計事務所から依頼の帳票の入力を、区内4～６か所の施設で請け負っている。"
"3","新宿区","新宿区障害者福祉事業所等ネットワーク（しんじゅQuality）","03-5273-3852","田村","","sakae.tamura@sksc.or.jp","封入封緘作業","封入・封緘","１００通","約20000通","1週間（土日除く）","5点封入で8円～","自力での納品可","無","有","有","郵送、メール便などの発送代行、宛名ラベルの作成も可能。"
"4","新宿区","新宿区障害者福祉事業所等ネットワーク（しんじゅQuality）","03-5273-3852","田村","","sakae.tamura@sksc.or.jp","封筒、名刺印刷、冊子製本等","印刷","","封筒印刷等約１００００枚","封筒印刷１～2週間","長37円～/1枚角(2)10円/1枚（封筒の種類に応じて）","自力での納品可","無","有","有","区や企業より封筒印刷。名刺印刷等請け負っている。その他、町会の広報誌印刷等も実績あり。"
"5","文京区","ジョブ～る文京","03-5940-2822","ジョブ～る文京担当","","bunbun@team-lien.com","シール貼り","封入・封緘","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有",""
"6","文京区","ジョブ～る文京","03-5940-2822","ジョブ～る文京担当","","bunbun@team-lien.com","手帳カバー掛け","その他","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有",""
"7","文京区","ジョブ～る文京","03-5940-2822","ジョブ～る文京担当","","bunbun@team-lien.com","帳合い・封入","封入・封緘","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有",""
"8","文京区","ジョブ～る文京","03-5940-2822","ジョブ～る文京担当","","bunbun@team-lien.com","パンフレット差し込み","封入・封緘","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有",""
"9","墨田区","墨田区作業所等ネットワーク≪kai≫","03-5600-2001","山本山崎","","hureaicent@city.sumida.lg.jp","揚げ餅・焼き菓子等","食品","５個","５００個","１か月","３００円～","発注元による回収希望","無","有","有","イベントの記念品"
"10","墨田区","墨田区作業所等ネットワーク≪kai≫","03-5600-2001","山本山崎","","hureaicent@city.sumida.lg.jp","DM・冊子等の封入・封緘","封入・封緘","１００通","数万通","１週間～１か月","５円～","発注元による回収希望","無","有","有",""
"11","墨田区","墨田区作業所等ネットワーク≪kai≫","03-5600-2001","山本山崎","","hureaicent@city.sumida.lg.jp","各種袋詰め","箱・袋詰め","１００個","数万個","１週間～１か月","数円～","発注元による回収希望","無","有","有",""
"12","世田谷区","世田谷セレ部","03-3485-3633090-8845-3565","進藤義夫","https://www.city.setagaya.lg.jp/mokuji/fukushi/002/014/d00031196.html","hasic_honbu@yahoo.co.jp","冊子及び印刷物封入発送","封入・封緘","1000","35000","７日","２円／枚～１０円／冊（量や種類により変動）","自力での納品可","無","有","有","郵便局までの持ち込みは可能（その分単価が上がる）複数施設が1か所で共同作業で行うこともできる納期や内容に応じて見積もり出します。"
"13","世田谷区","世田谷セレ部","03-3485-3633090-8845-3565","進藤義夫","https://www.city.setagaya.lg.jp/mokuji/fukushi/002/014/d00031196.html","hasic_honbu@yahoo.co.jp","清掃","清掃","50m2","300m2","1年","10円／m2","自力での納品可","有","有","有","消防署の清掃など実績あり。ポリッシャーなどの機械もあります床材によって単価は変動。"
"14","世田谷区","世田谷セレ部","03-3485-3633090-8845-3565","進藤義夫","https://www.city.setagaya.lg.jp/mokuji/fukushi/002/014/d00031196.html","hasic_honbu@yahoo.co.jp","データ入力","データ入力","1000文字","50000文字","20日","1円／字～","自力での納品可","無","有","有","HP製作等も可能"
"15","世田谷区","世田谷セレ部","03-3485-3633090-8845-3565","進藤義夫","https://www.city.setagaya.lg.jp/mokuji/fukushi/002/014/d00031196.html","hasic_honbu@yahoo.co.jp","焼菓子等ギフトセット","食品","1","300","３～10日","５００円～４０００円","自力での納品可","無","有","有","複数施設が対応できるので、焼き菓子の種類にこだわらなければ、さらに多くの受注が可能"
"16","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","クリーニング","その他","ご相談","ご相談","ご相談","ワイシャツ260円～シーツ類470円～ご依頼内容によって異なるため、詳細はお見積りいたします。","自力での納品可","無","有","有","シーツ、タオル、作業着、白衣の業務関係を中心に飲食店等のクリーニングも幅広く請負います。指定洗濯物への対応、集配頻度等もご相談に応じます。"
"17","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","点訳作業","印刷","ご相談","ご相談","ご相談","文字数やレイアウトにより異なるため、詳細はお見積りいたします。","自力での納品可","無","有","有","主に、公共機関を中心に様々な会議の書類等を点訳しています。その他に、お店の案内チラシや、パンフレット、飲食店のメニューなども承ります。点字の名刺作成も行っています。"
"18","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","清掃作業","清掃","ご相談","ご相談","ご相談","広さや汚れの程度により異なるため、詳細はお見積りいたします。","自力での納品可","無","有","有","公共機関からの委託を受けた公園の清掃作業を中心に、アパートやマンションの共用部分の清掃、除草や枯葉掃除などを行います。ポリッシャー等の清掃用具を使用した定期清掃も請け負います。"
"19","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","封入・セット作業","封入・封緘","ご相談","ご相談","ご相談","1工程3円～詳細はお見積りいたします。","自力での納品可","無","有","有","公共機関からの多種類の書類封入、企業からのダイレクトメールの封入をはじめ、子ども向け雑誌の付録などの封入を行っています。紙類以外に、化粧品サンプルや文房具の封入も行っています。"
"20","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","組み立て・分解作業","箱・袋詰め","ご相談","ご相談","ご相談","1工程2円～詳細はお見積りいたします。","自力での納品可","無","有","有","ボールペンやステープラーなどの組み立てを行っています。その他、作業環境にも配慮し、菓子の贈答用セットなどの箱組みも行います。"
"21","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","印刷","印刷","ご相談","ご相談","ご相談","素材や色数によって異なるため、詳細はお見積りいたします。","自力での納品可","無","有","有","Tシャツや手ぬぐい等の布製品やクリアファイル、ボールペン等プラスチック製品への印刷も行っています。"
"22","杉並区","すぎなみ仕事ねっと","03-3381-4278","森","http://www.suginami-shigoto.net/","kata@jcpa.net","データ入力","データ入力","ご相談","ご相談","ご相談","内容によって異なるため、詳細はお見積りいたします。","自力での納品可","無","有","有","住所録などのデータ入力を行います。"
"23","北区","北区福祉作業所連絡会共同受注窓口","03-5963-6090","森","http://sazanka.info/","pegasus2@hattatsu.or.jp","受託加工等全般(1)","封入・封緘","1００件","要相談（1施設あたり5000件平均/日）","左記件数に準ずる","要相談（目安として1工程1円～）","自力での納品可","無","有","有","加工内容（封入枚数や郵便区分け・納品等）および件数についても少数から量の多い件数でも複数施設の調整により相談・対応させて頂きます"
"24","北区","北区福祉作業所連絡会共同受注窓口","03-5963-6090","森","http://sazanka.info/","pegasus2@hattatsu.or.jp","受託加工等全般(2)","箱・袋詰め","1００件","要相談（加工の工程により変動）","左記件数に準ずる","要相談（目安として1工程1円～）","自力での納品可","無","有","有","加工内容（箱折・セット組・部品組立・商品加工等）および件数についても少数から量の多い件数でも複数施設の調整により対応させて頂きます"
"25","北区","北区福祉作業所連絡会共同受注窓口","03-5963-6090","森","http://sazanka.info/","pegasus2@hattatsu.or.jp","食品製造販売","食品","1件～","要相談","即日～一週間程度","商品により異なる","自力での納品可","無","有","有","個別販売から共同での販売（イベント出店）など多様な提供が可能です。また出張販売やお歳暮等での活用などお気軽にご相談ください"
"26","北区","北区福祉作業所連絡会共同受注窓口","03-5963-6090","森","http://sazanka.info/","pegasus2@hattatsu.or.jp","清掃等委託業務","清掃","1日","要相談（1～5日/週）","1日単位から定期受注まで","清掃業務により要相談","自力での納品可","無","有","有","日常清掃から定期清掃までご相談により単価・頻度等相談させて頂きます"
"27","練馬区","練馬区障害者就労支援センター","03-3948-6501","山岡・村田・根岸","https://www.neri-shakyo.com/","rainwork@agate.plala.or.jp","封入・封かん・宛名シール貼り","封入・封緘","","５万部","１か月","原則１工程１円","発注元による回収希望","無","有","有",""
"28","練馬区","練馬区障害者就労支援センター","03-3948-6501","山岡・村田・根岸","https://www.neri-shakyo.com/","rainwork@agate.plala.or.jp","名刺・封筒・冊子印刷・製本","印刷","","１万部","２週間","相談","発注元による回収希望","無","有","有",""
"29","練馬区","練馬区障害者就労支援センター","03-3948-6501","山岡・村田・根岸","https://www.neri-shakyo.com/","rainwork@agate.plala.or.jp","商品の袋詰め","箱・袋詰め","","５万個","１か月","原則１工程１円","発注元による回収希望","無","無","有",""
"30","練馬区","練馬区障害者就労支援センター","03-3948-6501","山岡・村田・根岸","https://www.neri-shakyo.com/","rainwork@agate.plala.or.jp","箱組み立て","箱・袋詰め","","３万個","１か月","原則１工程１円","発注元による回収希望","無","無","有",""
"31","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","公園清掃","清掃","248m2","10576m2","1か月","66.8/m2","自力での納品可","","","","八王子市内35か所の公園の清掃作業(共同受注)"
"32","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","夕やけ小やけふれあいの里清掃","清掃","","250581m2","年間","年間契約￥146500","自力での納品可","","","","八王子市内の夕やけ小やけふれあいの里の清掃(共同受注)"
"33","八王子市","かてかてネットワーク","042-669-0340","","http://katekate.net","katekate@8workc.jp","施設清掃","清掃","100m2","300m2","1年間","作業時間等による","自力での納品可","無","無","有","車両送迎により、近隣のグループホーム入所施設に出向き、清掃作業を行います。片道30以内の施設に限ります。"
