"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","HOPE神田","一般社団法人ホープＩＴ訓練センター","千代田区","03-5256-1411","山本","http://www.hope-it.or.jp/","info@hope-it.or.jp","データ入力","データ入力","100件","1500件","ご相談ください","未定","自力での納品可","有","無","無","ダブルチェックを行い、ミスのない納品を行います。実績が認められ連続で発注いただいています。"
"2","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","データ入力","データ入力","50","1000","要相談","3円～／1項","自力での納品可","無","無","有","名刺・カルテなどの顧客データ入力、アンケート集計、手書き文章などのデータ化など、PCを使ったさまざまなデータ入力作業を請け負っています。"
"3","オフィスクローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","文章・住所録、会計用レシート等の入力","データ入力","1000字","10000字","10日間","入力1字0.5円～レシート入力1件5円～","発注元による回収希望","無","無","有","手書きの原稿をワードで入力し機関誌を作成したり、レシートをエクセルの書式に入力するなど可。最終チェックは必ず職員が行い納品します。"
"4","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","CMS作業","データ入力","","25人/日","1日","1200円～","自力での納品可","無","無","有","自治体の運営するHPなどの、多量なページのリニューアルやアクセシビリティー化を、専用のシステムを使用し、短期間で行います。"
"5","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","画像加工（白塗り）","データ入力","","200画像","3日","100円～","自力での納品可","無","無","有","商品画像の白塗りやトリミングなど、丁寧に行います。"
"6","くじら","株式会社くじら","新宿区","03-6274-8977","逵","https://kujira-a.co.jp/","info@kujira-a.co.jp","HP編集・データ入力","データ入力","","1HP","2週間","10万円～","自力での納品可","無","無","有","アンケート集計・データ入力・情報処理からHP制作・ワードプレスへの流し込みまでIT軽作業を請負います。"
"7","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","CMS作業","データ入力","","25人/日","1日","1200円～","自力での納品可","無","無","有","自治体の運営するHPなどの、多量なページのリニューアルやアクセシビリティー化を、専用のシステムを使用し、短期間で行います。"
"8","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","画像加工（白塗り）","データ入力","","200画像","3日","100円～","自力での納品可","無","無","有","商品画像の白塗りやトリミングなど、丁寧に行います。"
"9","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","HP編集・データ入力","データ入力","","1HP","2週間","10万円～","自力での納品可","無","無","有","アンケート集計・データ入力・情報処理からHP制作・ワードプレスへの流し込みまでIT軽作業を請負います。"
"10","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","CMS作業","データ入力","","25人/日","1日","1200円～","自力での納品可","無","無","有","自治体の運営するHPなどの、多量なページのリニューアルやアクセシビリティー化を、専用のシステムを使用し、短期間で行います。"
"11","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","画像加工（白塗り）","データ入力","","200画像","3日","100円～","自力での納品可","無","無","有","商品画像の白塗りやトリミングなど、丁寧に行います。"
"12","マナティ","株式会社マナティ","新宿区","03-3359-2030","寺田","https://manatee.co.jp/","info@manatee.co.jp","HP編集・データ入力","データ入力","","1HP","2週間","10万円～","自力での納品可","無","無","有","アンケート集計・データ入力・情報処理からHP制作・ワードプレスへの流し込みまでIT軽作業を請負います。"
"13","HOPE","特定非営利活動法人HOPE","台東区","03-5825-6261","佐藤","http://hope-syurou.com/","hope@best-kaigo.com","テープ起こし、データ入力","データ入力","1件","30件","一週間～応相談","テープ起こし150円/分整文500～2000円/件","自力での納品可","無","有","有","講演会や会議のテープ起こしのほか、データ入力や文章作成などPCを使った業務の実績があります。単価や納期などお気軽にご相談ください。"
"14","コム・オアシス","社会福祉法人おあしす福祉会","江東区","03-5690-5959","藤田","http://www.oasisfukushi.or.jp/","com@oasisfukushi.or.jp","簡単なデーター入力","データ入力","","","応相談","応相談","発注元による回収希望","","","","作業の内容等にもよります。ご相談ください。"
"15","就労継続支援B型ガーデン","社会福祉法人げんき","品川区","03-3474-2515","伊藤","https://swc-genki.org/","place@swc-genki.org","データ入力","データ入力","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有","指定されたシステムへのデータ入力をお受けしました"
"16","ENTAS","社会福祉法人ヒューマン･ネットワーク結","大田区","03-3751-7650","小柳","http://entas.or.jp/","yui.entas@nifty.com","Ｗｏｒｄ・Ｅｘｃｅｌデータ入力","データ入力","","要相談","要相談","要相談","自力での納品可","無","有","有",""
"17","Scopo","特定非営利活動法人ウィーキャン世田谷","世田谷区","03-6413-0098","鈴木","https://www.scopo.or.jp","order@scopo.or.jp","Webデザイン（ホームページ制作）","データ入力","1ページ","20ページ","3ヶ月",""約20000円/頁（税別）"","自力での納品可","無","無","有","オリジナリティ溢れる魅力的なWebサイトをご提供。（ご参考：自法人施設ホームページ制作）https://www.scopo.or.jp/"
"18","ワークショップ・かたつむり","社会福祉法人かたつむり会","杉並区","03-3381-4278","森","http://www.jcpa.net/kata/","kata@jcpa.net","データ入力(住所録・アンケート等)","データ入力","２０件","２００件","５日","５円／１項目","自力での納品可","無","無","有",""
"19","E・G・B・A","（社福）豊芯会","豊島区","03-3915-9063","武岡","http://www.housinkai.or.jp","su-takeoka@housinkai.or.jp","データ入力","データ入力","50","300","30日","選択入力3円自由入力10円","発注元による回収希望","無","有","有","調査票入力・アンケート入力・名刺入力等"
"20","さら就労塾＠ぽれぽれ/池袋","特定非営利活動法人さらプロジェクト","豊島区","03-5944-9123","石川祐司","https://sarapore.jp","ikebukuro@sarapore.jp","申請書入力","データ入力","1","700","40日間","150円/件","自力での納品可","","有","","数字、文字混合データの入力について、定量的に対応。納期は内容、量によって応相談。"
"21","さら就労塾＠ぽれぽれ/池袋","特定非営利活動法人さらプロジェクト","豊島区","03-5944-9123","石川祐司","https://sarapore.jp","ikebukuro@sarapore.jp","名刺入力","データ入力","10枚","1000枚","20日間","50円／枚","自力での納品可","","","有","数日中の短納期にも対応可能。納期、単価は内容、量によって応相談。"
"22","作業所スカイ","社会福祉法人すかい","荒川区","03-3891-7060","","http://www.sukai.jp/","sagyou-arkw@sukai.jp","名刺データ入力","データ入力","500","10000","5","19","自力での納品可","無","無","有","名刺やホームページのお問い合わせ情報をExcel表等にまとめます。"
"23","ウィズミー","一般社団法人ウィズミー","板橋区","03-5943-5595","安藤","","withme_n_r@yahoo.co.jp","データ入力","データ入力","応相談","応相談","応相談","応相談","自力での納品可","無","無","有","住所録、アンケート、名刺、書籍の電子化等、ExcelやWord入力が可能です"
"24","ドンと来い亀有","株式会社おもつな","葛飾区","03-6662-5658","大谷徳博","http://www.omotsuna.co.jp/index.html","ootani@dontokoi-kameari.com","データ入力","データ入力","応相談","応相談","応相談","応相談","発注元による回収希望","無","無","有","税理士法人より依頼を受け、通帳やﾚｼｰﾄ・領収書の情報をｴｸｾﾙｼｰﾄに入力したり、AIを活用してｽｷｬﾝをしています。"
"25","東京ソテリアエンプロイメント","特定非営利活動法人東京ソテリア","江戸川区","03-5879-4970","宮澤明音","http://soteria.jp/","benri@soteria.jp","データ入力","データ入力","単発","1年間","1週間～1カ月","2000円/時間","自力での納品可","無","有","有","書類の電子化、データベース作成、アンケート集計などを行います。"
"26","アース","株式会社ピーライフ","八王子市","042-683-1206","青木","https://www.peaceful-life.jp/","info@peaceful-life.jp","各種データ入力","データ入力","","","1週間","入力内容による","自力での納品可","無","無","有","営業先リストDM送付リスト運転実績記録などの入力実績あり。"
"27","アポイント","株式会社ハートエース","八王子市","042-649-5012","","http://www.takenet.or.jp/~ace/appoint/","heartace.appoint@gmail.com","データ入力","データ入力","1個","500個","5日","発注元の条件による","自力での納品可","無","無","有","納期、数量は調整可能です。"
"28","ひゅーまにあ八王子","株式会社チャレンジドジャパン","八王子市","042-646-0536","長井","https://ch-j.jp/","humania_hachioji@ch-j.jp","データ入力","データ入力","応相談","応相談","応相談","応相談","自力での納品可","無","無","無",""
"29","プレワーク","特定非営利活動法人わかくさ福祉会","八王子市","042-686-0325","立川伸吾","https;//wakakusaf.or.jp","prework@wakakusaf.or.jp","文書データの修正・入力","データ入力","","","応相談","1文字0.1円～1円","自力での納品可","","","有","宛名作成やAIテープ起こしの修正。各企業様からお預かりした領収書の科目仕分けなどを請け負い、データは企業様からの提案に沿った形で対応。"
"30","リーフ","株式会社ピーライフ","八王子市","042-629-9602","原","https://www.peaceful-life.jp/","info@peaceful-life.jp","各種データ入力","データ入力","","","1週間","入力内容による","自力での納品可","無","無","有","会員リスト・営業先リスト・DM送付リスト・運転実績記録などの入力実績あり。"
"31","オープンスペース本郷町","社会福祉法人マインドはちおうじ","八王子市","042-625-7317","","http://mindhachioji.org/offices/#hongou","hon-mind_c.a241o@kch.biglobe.ne.jp","音声書き起こし、データ入力","データ入力","１５分","120分","営業日10日間","2500円/15分","自力での納品可","","","有","単価は納期により応相談。会議録の作成、ＡＩの学習用データ入力作業など受注実績多数あり。"
"32","ピアわかくさ","社会福祉法人マインドはちおうじ","八王子市","042-631-9404","","http://mindhachioji.org/","lei03416@nifty.ne.jp","データ入力","データ入力","","応相談","応相談","応相談","自力での納品可","無","無","無","データ入力のみの取引の実績はありませんが、実際の内職作業でデータ入力に取り組んでいます。店舗毎の作業数管理データ作成等。"
"33","フードバンク八王子ワークス","一般社団法人フードバンク八王子","八王子市","042-649-1769","國本","https://www.works.foodbank8.tokyo/","info@foodbank8.tokyo","データ入力","データ入力","","","","","自力での納品可","","有","有","相当に複雑なデータ・フォーマットでも可。"
"34","光の家栄光園","東京光の家","日野市","042-581-2340","山本","http://www.hikarinoie.org/","eikoh@hikarinoie.org","資料等の点訳・点字印刷","データ入力","Ａ４活字データ１枚","Ａ４活字データ30枚","２０日間","点訳データ２１００円／枚","自力での納品可","無","有","有","日野市、昭島市、"
"35","くるめパソコン作業所","特定非営利活動法人武蔵野の里","東久留米市","042-471-4995","","http://musashinonosato.com/","mpc@cello.ocn.ne.jp","アンケート、名簿入力","データ入力","","１日２００件","","","自力での納品可","","","有",""
