"","問１４－４　就業施設雇用形態【過去保育士就業経験有】","問１４－４　就業施設雇用形態【過去保育士就業経験有】／n","2／妊娠・出産(%)","6／給料が安い(%)","9／職場の人間関係(%)","1／結婚(%)","7／仕事量が多い(%)","8／労働時間が長い(%)","4／健康上の理由（体力含む）(%)","12／他業種への興味(%)","3／子育て・家事(%)","5／転居(%)","11／職業適性に対する不安(%)","13／家族の事情（介護等）(%)","10／保護者対応等の心労(%)","14／配偶者の意向(%)","15／その他(%)","16／無回答(%)"
"0","TOTAL","2871","25.7","25.5","20.6","20.4","20.3","17.5","15.7","14.3","12.1","10.8","7.6","6.4","5.0","2.0","17.7","1.4"
"1","正規職員","1438","24.3","28.4","26.3","28.9","27.2","25.5","16.7","13.6","12.1","13.1","8.1","5.3","6.7","2.4","14.2","0.3"
"2","有期契約職員フルタイム","386","28.5","26.7","16.6","15.3","16.1","13.7","14.5","18.1","9.8","10.4","9.8","4.9","4.9","1.8","20.2","0.8"
"3","有期契約職員パートタイム","828","26.8","21.3","13.4","8.3","11.6","6.3","14.9","13.3","13.3","8.3","6.5","8.5","2.5","1.3","24.4","1.6"
"1","配偶者有・子供有","1682","37.9","19.3","13.4","24.8","15.8","13.3","11.3","9.6","17.7","12.4","4.6","6.4","3.3","2.6","15.6","1.0"
"2","配偶者有・子供無","322","9.9","29.8","25.8","30.4","28.6","24.8","19.6","13.0","1.2","16.8","7.5","6.5","9.9","2.2","18.0","0.9"
"3","配偶者無・子供有","175","22.9","26.3","18.9","15.4","19.4","13.7","22.3","8.6","18.3","6.3","4.6","10.3","4.0","1.1","16.6","0.6"
"4","配偶者無・子供無","536","0.4","43.1","41.2","4.1","29.7","28.4","25.9","29.9","0.4","4.7","18.1","4.5","8.2","0.4","24.4","2.6"
"1","公設・公営","755","24.4","14.6","13.4","19.6","10.2","7.8","13.1","15.4","14.4","11.3","6.1","7.0","3.0","2.1","20.4","1.2"
"2","公設・民営","203","22.7","34.5","20.7","20.2","25.6","25.1","17.7","10.8","10.3","10.3","8.4","6.4","7.9","2.0","25.1","0.0"
"3","民設・民営（社会福祉法人）","1037","27.7","25.6","24.8","24.3","25.2","21.7","16.6","14.9","12.3","12.1","8.1","5.5","5.8","2.3","14.9","0.7"
"4","民設・民営（株式会社）","425","25.9","43.8","23.1","12.9","28.5","22.8","19.5","14.4","10.1","9.6","9.4","6.6","7.1","0.7","18.6","0.5"
"5","民設・民営（ＮＰＯ法人）","53","22.6","26.4","20.8","20.8","17.0","17.0","13.2","11.3","13.2","13.2","7.5","9.4","3.8","1.9","13.2","1.9"
"6","民設・民営（個人）","195","23.6","24.1","21.0","16.9","16.9","14.4","14.9","14.9","9.7","9.7","7.2","6.2","1.5","3.1","19.0","0.5"
