"","24年度(2354世帯)(％)","19年度(2595世帯)(％)"
"行き帰りが安全であること","44.9",""
"学校から近いこと","31.5","12.9"
"自宅から近いこと","29.3","30.3"
"指導内容が充実すること","16.0","19.2"
"小学校高学年の子供を受け入れること","15.4","14.3"
"学校が休みの日に利用できること","14.1","12.3"
"建物の安全管理面(耐震構造など)が行き届いていること","13.4",""
"長期休暇中(夏休み等)に昼食を提供してくれること","12.9","12.2"
"利用時間が延長されること","12.1","11.9"
"建物や設備(遊び道具など)が整っていること","7.6","9.4"
"費用がかからないこと","7.2","6.8"
"学童クラブを利用していない子供との交流ができること","6.3","6.3"
"指導員と養育者の交流(保護者会、イベント等への養育者参加等)があること","2.8","2.4"
"子供の意見を十分取り入れること","2.6","3.8"
"障害児を受け入れること","1.9","2.1"
"夕食を提供してくれること","1.3","0.8"
"おやつを充実させること※","0.7","1.0"
"学童クラブを利用するつもりはない","14.0","28.6"
"その他","1.8","2.4"
"無回答","5.3","4.0"
