"","これまでの症状／１症状あり／男子","これまでの症状／１症状あり／女子","これまでの症状／１症状あり／性別不明","これまでの症状／１症状あり／総数(人数)","これまでの症状／１症状あり／総数(割合)","これまでの症状／２症状なし／男子","これまでの症状／２症状なし／女子","これまでの症状／２症状なし／性別不明","これまでの症状／２症状なし／総数(人数)","これまでの症状／２症状なし／総数(割合)","これまでの症状／無回答／男子","これまでの症状／無回答／女子","これまでの症状／無回答／性別不明","これまでの症状／無回答／総数(人数)","これまでの症状／無回答／総数(割合)"
"１呼吸器症状","402","330","72","804","23.4","1197","1242","155","2594","75.5","16","18","3","37","1.1"
"（再掲） 1回の呼吸器症状","60","61","14","135","3.9","","","","","","","","","",""
"2回以上の呼吸器症状","256","192","42","490","14.3","","","","","","","","","",""
"回数無回答","86","77","16","179","5.2","","","","","","","","","",""
"２食物アレルギー","385","286","46","717","20.9","1219","1290","181","2690","78.3","11","14","3","28","0.8"
"３アトピー性皮膚炎","339","270","57","666","19.4","1259","1301","168","2728","79.4","17","19","5","41","1.2"
"４アレルギー性鼻炎","362","284","59","705","20.5","1230","1291","165","2686","78.2","23","15","6","44","1.3"
"５アレルギー性結膜炎","141","114","26","281","8.2","1450","1458","199","3107","90.5","24","18","5","47","1.4"
"６じんましん","337","309","38","684","19.9","1259","1263","186","2708","78.8","19","18","6","43","1.3"
"７その他のアレルギー疾患","50","31","6","87","2.5","1529","1527","215","3271","95.2","36","32","9","77","2.2"
"何らかのアレルギーの症状あり","954","808","132","1894","55.1","657","779","97","1533","44.6","4","3","1","8","0.2" 
