"番号","申請者","名称","所在地","緯度","経度","座標系","住戸数（戸）","開設","特定事業者指定"
"1","社会福祉法人隆山会","高齢者専用賃貸住宅豊かな里","日野市豊田１－２２－２","35.658104","139.388519","JGD2011","11","19年12月","12月1日"
"2","扶桑管理サービス株式会社","パステルライフ福生","福生市福生二の宮２４６１","35.734699","139.338745","JGD2011","44","20年3月","3月1日"
"3","株式会社ヒーロー","高齢者専用賃貸住宅リンク平和台","練馬区平和台１－１７－１０","35.758736","139.664810","JGD2011","56","20年3月","3月1日"
"4","株式会社ウイズネット","高齢者専用賃貸住宅ういず・国分寺","国分寺市東戸倉１－２－２","35.714741","139.470139","JGD2011","24","20年3月",""
"5","社会福祉法人章佑会","やすらぎガーデン・石神井台","練馬区石神井台６－１３－２","35.738197","139.584366","JGD2011","7","20年5月",""
"6","株式会社コーワ薬品","高齢者専用賃貸住宅あすなろ","日野市百草１０４２番地２１","35.645805","139.426788","JGD2011","38","20年8月","8月1日"
"7","株式会社マツマル","高齢者専用賃貸住宅アビタシオン金町2","葛飾区金町５－２４－１８","35.765804","139.868820","JGD2011","33","20年11",""
"8","株式会社学研ココファン","ココファンレイクヒルズ","大田区南千束１－２１－９","35.604527","139.693161","JGD2011","7","20年7月",""
"9","社会福祉法人こうほうえん","ケアホーム西大井こうほうえん","品川区西大井２－５－２１","35.599255","139.722626","JGD2011","42","21年3月","3月1日"
"10","社会福祉法人至誠学舎立川","高齢者専用賃貸住宅「楽」","国分寺市並木町３－１２－２","35.714420","139.447311","JGD2011","7","21年4月",""
"11","株式会社明昭","ガーデンフィールズとねり公園ＢｉｇＢｅｌｌ","足立区伊興５丁目１４番","35.797951","139.780685","JGD2011","79","21年9月",""
"12","社会福祉法人福陽会","高齢者マンションサンシャインビラ","福生市大字熊川１３９４","35.722149","139.341721","JGD2011","39","21年11月",""
"13","エヌ・ティ・ティ都市開発株式会社","ウェリスオリーブ新小岩","葛飾区東新小岩３丁目１４番１０号","35.723675","139.861343","JGD2011","46","22年5月",""
"14","東京建物不動産販売株式会社","グレイプス浅草","台東区浅草東町二丁目３４番７号","35.714928","139.797989","JGD2011","98","22年2月",""
"15","日本メディケアサポート株式会社","ジョイフルホーム西東京","西東京市東町３－１－１３","35.744701","139.565720","JGD2011","47","21年11月","11月1日"
"16","株式会社ニチイケアパレス","アイリスガーデン昭島","昭島市松原町三丁目８番1号","35.716393","139.346527","JGD2011","38","21年12月",""
"17","株式会社日本トータルライフ","グランマリバーサイド立川","立川市富士見町７－３６－９","35.690907","139.394470","JGD2011","32","21年12月",""
"18","株式会社メッセージ","Cアミーユ王子神谷","足立区新田一丁目３番１９号","35.772556","139.737854","JGD2011","93","22年3月",""
"19","株式会社ユニマットそよ風","祖師谷ケアパークそよ風","世田谷区祖師谷４－３－１５","35.647549","139.607864","JGD2011","30","23年3月","3月1日"
"20","株式会社学研ココファン","ココファン池上","大田区池上2丁目12番７号","35.578442","139.703293","JGD2011","22","22年12月",""
"21","社会福祉法人長寿村","グループリビングあやせ","足立区谷中１丁目１７番７号","35.771503","139.831863","JGD2011","50","23年4月",""
"22","社会福祉法人大田幸陽会","大田幸陽会ラナハウス西糀谷","大田区西糀谷二丁目３１番２号","35.557514","139.733688","JGD2011","15","23年4月",""
"23","社会福祉法人至誠学舎立川至誠ホーム","至誠ホームスオミ・高齢者専用賃貸住宅「せせらぎ」","立川市錦町６－２８－３３","35.685776","139.414383","JGD2011","15","23年4月",""
"24","株式会社ニュースラボ","ベリーハイムあやとり","小平市天神町１－１５０－１","35.728043","139.492004","JGD2011","10","23年5月",""
"25","株式会社レイクス・トゥエンティワン","プラチナ・シニアホーム板橋徳丸","板橋区徳丸３－３８－１９","35.775822","139.658615","JGD2011","34","23年7月","7月1日"
"26","株式会社明昭","ガーデンフィールズ六木","足立区六木一丁目18番11号","35.793163","139.838165","JGD2011","80","23年8月",""
"27","株式会社明昭","ガーデンフィールズ花畑","足立区花畑一丁目26番3号","35.798786","139.814575","JGD2011","75","23年10月",""
