"","症状有または診断有（原因食物への記載ありn=693）／人数","症状有または診断有（原因食物への記載ありn=693）／割合","症状有（原因食物への記載ありn=687）／人数","症状有（原因食物への記載ありn=687）／割合","診断有（原因食物への記載ありn=567）／人数","診断有（原因食物への記載ありn=567）／割合"
"食物名／１、卵","528","76.2","523","76.1","459","81.0"
"食物名／２、牛乳","202","29.1","202","29.4","189","33.3"
"食物名／３、小麦","90","13.0","89","13.0","83","14.6"
"食物名／４、そば","24","3.5","23","3.3","16","2.8"
"食物名／５、落花生","54","7.8","53","7.7","52","9.2"
"食物名／６、えび","38","5.5","38","5.5","29","5.1"
"食物名／７、かに","23","3.3","23","3.3","14","2.5"
"食物名／８、いくら","29","4.2","29","4.2","22","3.9"
"食物名／９、あわび","1","0.1","1","0.1","1","0.2"
"食物名／10、牛肉","10","1.4","10","1.5","8","1.4"
"食物名／11、いか","1","0.1","1","0.1","1","0.2"
"食物名／12、キウイ","42","6.1","42","6.1","35","6.2"
"食物名／13、オレンジ","2","0.3","2","0.3","2","0.4"
"食物名／14、くるみ","23","3.3","23","3.3","22","3.9"
"食物名／15、鶏肉","11","1.6","11","1.6","9","1.6"
"食物名／16、さけ","13","1.9","13","1.9","12","2.1"
"食物名／17、さば","11","1.6","11","1.6","9","1.6"
"食物名／18、大豆","38","5.5","38","5.5","36","6.3"
"食物名／19、豚肉","6","0.9","6","0.9","5","0.9"
"食物名／20、まつたけ","0","0.0","0","0.0","0","0.0"
"食物名／21、もも","7","1.0","7","1.0","4","0.7"
"食物名／22、やまいも","27","3.9","27","3.9","17","3.0"
"食物名／23、りんご","5","0.7","5","0.7","4","0.7"
"食物名／24、グミ・ゼラチン","4","0.6","4","0.6","3","0.5"
"食物名／25、バナナ","19","2.7","19","2.8","17","3.0"
"食物名／26、ごま","25","3.6","25","3.6","25","4.4"
"食物名／27、カシューナッツ","16","2.3","16","2.3","16","2.8"
"食物名／28、米","3","0.4","3","0.4","3","0.5"
"食物名／29、その他","105","15.2","105","15.3","74","13.1" 
