"年齢","人","平均値(%)","標準偏差(%)","パーセンタイル／1(%)","パーセンタイル／5(%)","パーセンタイル／10(%)","パーセンタイル／25(%)","パーセンタイル／50(中央値)(%)","パーセンタイル／75(%)","パーセンタイル／90(%)","パーセンタイル／95(%)","パーセンタイル／99(%)"
"男性総数","205","27","7.3","11.3","16.5","17.2","22","26.6","31.8","35.9","38.4","45.7"
"1～2歳","4","32.9","5.2","29.6","29.7","29.8","30.1","30.6","33.4","37.8","39.3","40.4"
"3～5歳","5","28.4","7.8","21.5","21.7","22","22.8","24.4","34.3","37.2","38.2","39"
"6～7歳","6","26.3","7.6","19.9","20.3","20.9","21.9","23.6","27.7","34.5","37.5","39.9"
"8～9歳","3","25.1","3.5","23","23","23.1","23.1","23.2","26.2","28","28.6","29.1"
"10～11歳","5","26.5","5.6","20.6","21.2","21.8","23.8","25.9","26.8","32","33.7","35.1"
"12～14歳","8","31","6.5","18.8","20.6","22.9","28.4","33.5","35.4","36.2","36.6","36.9"
"15～17歳","6","29.6","6.3","24.2","24.2","24.2","24.6","27.8","32.8","36.9","38.4","39.6"
"18～29歳","20","28.7","9.4","10.3","14.7","15.6","24.5","28.2","33.6","38.1","41.7","48.5"
"30～49歳","42","27.7","7.6","13.5","16.9","20.4","22","26.6","32","35.5","35.9","48.6"
"50～69歳","60","25.5","7","12.9","15.7","16.7","20.8","25.3","30.2","35.5","37.8","39.7"
"70歳以上","46","26","6.8","9.5","16.9","17.4","21.9","26.4","30.9","34.2","36.2","38.2"
"女性総数","228","28.7","7.3","10.3","15.1","19.4","24.3","29.2","33.4","36.9","40.6","44.8"
"1～2歳","3","31.5","2.1","30.2","30.3","30.3","30.3","30.4","32.2","33.3","33.6","33.9"
"3～5歳","2","24.2","5.1","20.7","21","21.3","22.4","24.2","26","27.1","27.5","27.8"
"6～7歳","6","34","5.6","24.3","26","28.2","33.1","35.3","36.7","38.5","39.3","39.9"
"8～9歳","4","27.4","7.6","21.7","21.7","21.7","21.9","25.1","30.6","35","36.4","37.6"
"10～11歳","1","33.1","0","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1","33.1"
"12～14歳","8","28.8","4.3","21.1","22.2","23.6","26.6","30.1","31.8","32.4","32.9","33.3"
"15～17歳","7","30","8.4","21.8","22.3","22.8","24.1","29.2","32.6","39.8","42.7","45.1"
"18～29歳","17","29.4","9.8","11.1","12.9","16.7","23.3","29.4","36.5","41.9","43.1","43.4"
"30～49歳","60","29.9","6.3","14.9","17.8","20.5","26.6","30.9","34.2","36","38.3","41.8"
"50～69歳","71","28.6","7.6","10.5","15.1","18.8","25.1","29.8","33.5","36.7","38.1","45.5"
"70歳以上","49","26.3","7.7","4.9","14.5","17.4","23","26.3","30.3","34.8","39.8","41.1"
"(再掲)妊婦","1","39.9","0","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9","39.9"
"授乳婦","1","26","0","26","26","26","26","26","26","26","26","26"
