"","件数(件)","費用額(円)","保険者負担分(円)","一部負担金(円)","他法負担分(円)"
"療養の給付等","1642254","34254353604","23960060685","9519295788","774997131"
"食事療養(再掲)","16731","390367887","253372696","134395635","2599556"
"療養費等／食事療養","20","","69750","-69750","0"
"療養費等／療養費／療養費","843","14331948","9843196","4488752","0"
"療養費等／療養費／補装具","793","30458224","21348831","8654892","454501"
"療養費等／療養費／柔道整復師","51142","432984526","303805852","128318212","860462"
"療養費等／療養費／アンマ・マッサージ","2090","65069495","45548997","18281526","1238972"
"療養費等／療養費／ハリ・キュウ","2286","27039406","18890338","7998276","150792"
"療養費等／療養費／その他","27","349916","244935","104981","0"
"療養費等／療養費／小計","57181","570233515","399682149","167846639","2704727"
"療養費等／療養費／海外療養費(再掲)","52","3075231","2152656","922575","0"
"療養費等／移送費","1","58161","58161","0","0"
"計","1699456","34824645280","24359870745","9687072677","777701858"
