"","支払義務額(円)","支払済額(円)","徴収金等(円)","戻入未済額(円)","未払額(円)"
"保険給付費／療養給付費／計","183350870479","183850300887","475996823","23433585","0"
"保険給付費／療養給付費／現年度分（再掲）","183350870479","183850300887","475996823","23433585","0"
"保険給付費／療養費／計","3097180500","3103963855","6440326","343029","0"
"保険給付費／療養費／現年度分（再掲）","3097180500","3103963855","6440326","343029","0"
"保険給付費／高額療養費","17264868618","17311437604","43660749","2908237","0"
"保険給付費／高額介護合算療養費","141189","141189","0","0","0"
"保険給付費／移送費","33651","33651","0","0","0"
"保険給付費／その他の保険給付費","10814754899","10827100897","29299877","1834371","18788250"
"後期高齢者支援金","66900840171","66900840171","","","0"
"前期高齢者納付金","26523991946","26523991946","","","0"
"老人保健医療費拠出金","0","0","","","0"
"介護納付金","31855972890","31855972890","","","0"
