"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","HOPE神田","一般社団法人ホープＩＴ訓練センター","千代田区","03-5256-1411","山本","http://www.hope-it.or.jp/","info@hope-it.or.jp","訂正シール貼り","その他","100枚","4500枚","ご相談ください","未定","自力での納品可","無","有","有","丁寧に作業します。納期・枚数もお気軽にご相談ください。"
"2","中央区立レインボーハウス明石","社会福祉法人東京都手をつなぐ育成会","中央区","03-6226-1099","小宮","http://www.ikuseikai-tky.or.jp/~iku-r.b.h/","rbh_akashi@ikuseikai-tky.or.jp","クラフトリボンヘアゴム","その他","1","10","７日","320円/個","発注元による回収希望","無","無","有","色については応相談。"
"3","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","値札・商品シール貼り","その他","100枚","3000枚","3日","2円/枚","発注元による回収希望","無","無","有",""
"4","中央区立福祉センター作業室","中央区","中央区","03-3545-9311","椙山","","fukusen_02@city.chuo.lg.jp","商品タグ紐結び","その他","100枚","1000枚","3日","2円/枚","発注元による回収希望","無","無","有",""
"5","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","ぬいぐるみ制作","その他","100個","1000個","6か月","4000円/個","自力での納品可","無","無","有","婚礼､出産祝い用ぬいぐるみの制作､加工にて全国式場､ﾎﾃﾙへの納品を行っています｡"
"6","アトリエ・レダクラフト","一般社団法人レダクラフト","港区","03-6435-0611","我妻","http://www.petite-leda.com/ledacraft/index.html","magatsum@petite-leda.com","PRフラッグ再利用","その他","10枚","300枚","1か月","1000円/枚","自力での納品可","無","有","有","PR用フラッグの再利用としてリメイクを行います。東京マラソン財団⇒トートバッグ港区⇒ステージ用カバー麻布十番商店街⇒トートバッグ"
"7","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","タクシー点字シール作成","その他","1","600","１週間","１枚￥242","自力での納品可","無","無","有","タクシー点字シールを600件受注。その他タクシー用でなくても、点字シールの作成受注いたします。"
"8","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","花壇の維持管理","その他","5m2","50m2","1年間","500円/m2（花代含む）","自力での納品可","無","有","無","公園内の花壇の花が年間を通して綺麗に咲いている状態を維持します。"
"9","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","メール便仕分け作業","その他","","","１年間","","自力での納品可","無","無","有","ヤマト運輸落合支店（月～土）"
"10","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","メール便仕分け作業","その他","","","１年間","","自力での納品可","無","無","有","ヤマト運輸落合支店（月～土）"
"11","銀杏企画2","社会福祉法人本郷の森","文京区","03-5684-0999","若狭","http://www.ab.auone-net.jp/~ichou2/","ichou2@hongounomori.com","グリーティングカードの加工","その他","","300","1日","10円/1セット","発注元による回収希望","無","無","有",""
"12","銀杏企画2","社会福祉法人本郷の森","文京区","03-5684-0999","若狭","http://www.ab.auone-net.jp/~ichou2/","ichou2@hongounomori.com","ポスティング","その他","","300枚","1日","5円/1枚","発注元による回収希望","無","無","有","チラシを送って頂けば文京区本郷近郊に配ります。"
"13","小石川福祉作業所","社会福祉法人佑啓会","文京区","03-3811-1431","","http://fgakusya.sakura.ne.jp/","fg.koishikawa@yukeikai.jp","点字刻印","その他","500","10000","1か月","未定","発注元による回収希望","無","有","有","具体的な数量、単価、納期に関しては発注時にご確認、ご相談させて頂きます。"
"14","大塚福祉作業所","社会福祉法人佑啓会","文京区","03-3946-5601","熊澤","http://yukeikai-fg.jp","fg.otuka@yukeikai.jp","封筒への点字の刻印","その他","1","20000","１ヶ月","２円","自力での納品可","無","有","無","区の障害福祉課で使用する封筒２種類への視覚障碍者の為の点字の刻印をしています。"
"15","たいとう第四福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3872-8548","風間","http://taitou-tunagu.or.jp/top/","taitou-4@crest.ocn.ne.jp","メディアリサイクル","その他","","","１年","キロ単位価格","発注元による回収希望","無","有","無",""
"16","たいとう第二福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3843-5580","小山","http://tunagu-taitou.sakura.ne.jp/","taitoudai2@jcom.home.ne.jp","メディアリサイクル分類","その他","","","1年","キロ単位価格","発注元による回収希望","無","有","無","ビデオテープやカセットテープ等の分解、材質ごとに分類作業"
"17","たいとう福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3871-0681","遠藤","http://tunagu-taitou.sakura.ne.jp/","taito-fukusaku@herb.ocn.ne.jp","メディアリサイクル分類","その他","","","1年","キロ単位価格","発注元による回収希望","無","無","有","ビデオテープやカセットテープ等の分解、材質ごとに分類作業"
"18","オアシス・プラス","社会福祉法人おあしす福祉会","江東区","03-5646-7811","友田奈津美","http://www.oasisfukushi.or.jp/","plus@oasisfukushi.or.jp","調理の作業委託","その他","1人分～","50人分","","材料費込み１食700円(税別）～応相談","","無","無","有","高齢者デイサービスセンターにて、昼食作りを１日約20食、10年受託実績有り。今年1月から区内民間保育施設の給食配達も1日40人分で開始。学校給食や社員食号の調理補助等施設外就労先も大募集中。"
"19","オアシス・プラス","社会福祉法人おあしす福祉会","江東区","03-5646-7811","友田奈津美","http://www.oasisfukushi.or.jp/","plus@oasisfukushi.or.jp","喫茶店、レストランの運営委託","その他","","","","従事利用者への最賃保証＋材料費＋諸経費","","","無","無","豊芯会が豊島区役所内のカフェを運営しているので、そのようなことができたら。"
"20","コム・オアシス","社会福祉法人おあしす福祉会","江東区","03-5690-5959","藤田","http://www.oasisfukushi.or.jp/","com@oasisfukushi.or.jp","障害者スポーツ道具の貸出・運営補助","その他","","","応相談","","自力での納品可","","","有","障害者スポーツの体験会やレクレーションに活用できます。ボッチャ、ユニカール、フリーブロー、クロリティ、ビーンボーリング等が体験できます。"
