"全国／年","全国／性別","全国／総数(千人)","全国／0～4歳(千人)","全国／5～14(千人)","全国／15～24(千人)","全国／25～34(千人)","全国／35～44(千人)","全国／45～54(千人)","全国／55～64(千人)","全国／65～74(千人)","全国／75～84(千人)","全国／85歳以上(千人)","全国／不詳(千人)"
"平成20年","総数","118.6","31.1","25.2","4.5","7.1","7.7","6.7","8.5","11.6","11.8","4.1","0.3"
"平成20年","男性","58.9","18.2","14.7","2.2","2.9","3.0","2.6","3.4","4.6","5.5","1.6","0.1"
"平成20年","女性","59.7","13.0","10.5","2.3","4.3","4.6","4.1","5.1","7.0","6.3","2.5","0.1"
"平成17年","総数","155.8","44.2","33.2","5.7","9.8","10.4","8.6","11.6","15.7","12.0","4.2","0.3"
"平成17年","男性","78.6","26.3","19.7","2.8","4.1","3.9","3.4","4.5","6.8","5.5","1.4","0.2"
"平成17年","女性","77.2","17.9","13.5","2.9","5.7","6.5","5.2","7.2","8.9","6.5","2.8","0.2"
"平成14年","総数","152.8","37.6","33.6","7.5","9.6","8.5","9.3","11.5","17.7","13.1","4.1","0.3"
"平成14年","男性","79.1","22.0","20.3","4.2","4.4","3.8","3.8","4.6","8.2","6.1","1.5","0.2"
"平成14年","女性","73.6","15.6","13.2","3.3","5.2","4.7","5.4","6.9","9.5","6.9","2.6","0.1"
"平成11年","総数","167.4","36.5","39.9","11.2","10.8","10.2","10.3","13.3","18.3","12.7","3.7","0.5"
"平成11年","男性","89.8","22.8","24.9","6.1","4.9","4.3","4.4","5.9","8.9","6.1","1.4","0.2"
"平成11年","女性","77.6","13.7","15","5.0","5.9","5.9","6.0","7.4","9.4","6.6","2.4","0.3"
