"","総数(人)","1-6歳(人)","7-14歳(人)","15-19歳(人)","20-29歳(人)","30-39歳(人)","40-49歳(人)","50-59歳(人)","60-69歳(人)","70歳以上(人)"
"総数／栄養摂取状況調査","433","19","36","22","28","34","68","59","72","95"
"総数／身体状況調査","424","16","27","11","33","37","72","59","80","89"
"総数／血液検査","155","","","","7","3","33","23","43","46"
"総数／生活習慣調査","411","","","","38","39","77","67","85","105"
"男性／栄養摂取状況調査","205","12","19","10","16","20","22","29","31","46"
"男性／身体状況調査","204","11","14","6","17","23","26","28","35","44"
"男性／血液検査","63","","","","3","1","8","8","17","26"
"男性／生活習慣調査","193","","","","19","25","29","34","36","50"
"女性／栄養摂取状況調査","228","7","17","12","12","14","46","30","41","49"
"女性／身体状況調査","220","5","13","5","16","14","46","31","45","45"
"女性／血液検査","92","","","","4","2","25","15","26","20"
"女性／生活習慣調査","218","","","","19","14","48","33","49","55"
