"","1月1 日の住民基本台帳人口(人)","母子家庭出現率(％)","推計母子家庭数(世帯)","父子家庭出現率(％)","推計父子家庭数(世帯)"
"H10","5239545","2.04","106900","0.35","18400"
"H11","5324604","2.04","108700","0.35","18700"
"H12","5401662","2.04","110200","0.35","19000"
"H13","5489639","2.04","112000","0.35","19300"
"H14","5585847","2.05","114600","0.36","20200"
"H15","5679978","2.05","116500","0.36","20500"
"H16","5760580","2.05","118100","0.36","20800"
"H17","5842829","2.05","119800","0.36","21100"
"H18","5932890","2.05","121700","0.36","21400"
"H19","6029100","2.38","143500","0.29","17500"
"H20","6125824","2.38","145800","0.29","17800"
"H21","6210852","2.38","147900","0.29","18100"
"H22","6275360","2.38","149400","0.29","18200"
