"年・死因別","解剖数(件)","総数／男(件)","総数／女(件)","0～4／男(件)","0～4／女(件)","5～9／男(件)","5～9／女(件)","10～14／男(件)","10～14／女(件)","15～19／男(件)","15～19／女(件)","20～24／男(件)","20～24／女(件)","25～29／男(件)","25～29／女(件)","30～34／男(件)","30～34／女(件)","35～39／男(件)","35～39／女(件)","40～44／男(件)","40～44／女(件)","45～49／男(件)","45～49／女(件)","50～54／男(件)","50～54／女(件)","55～59／男(件)","55～59／女(件)","60～64／男(件)","60～64／女(件)","65以上／男(件)","65以上／女(件)","65～69／男(件)","65～69／女(件)","70～74／男(件)","70～74／女(件)","75～79／男(件)","75～79／女(件)","80～84／男(件)","80～84／女(件)","85以上／男(件)","85以上／女(件)","年齢・性別不詳"
"平成24年","2451","1695","756","22","19","","3","1","1","3","2","11","3","26","13","39","13","61","23","118","41","153","33","130","51","199","33","252","71","680","450","221","87","165","86","150","110","80","85","64","82",""
"平成25年","2338","1604","734","17","12","2","","2","","4","5","12","8","37","13","37","14","59","18","105","26","141","49","148","54","158","48","243","73","639","414","216","75","167","91","121","90","91","81","44","77",""
"","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","",""
"平成26年","2225","1571","654","14","13","2","1","","1","2","2","13","2","20","5","32","13","59","28","100","31","121","30","156","32","153","38","214","55","685","403","209","75","187","62","140","94","84","90","65","82",""
"平成27年","2314","1652","662","18","8","1","1","1","","","","17","4","19","9","39","15","53","15","103","28","131","51","159","51","202","40","191","47","718","393","233","74","196","74","128","92","93","82","68","71",""
"1病死","1717","1275","442","10","6","1","1","1","","","","9","1","11","2","31","5","43","13","79","18","107","31","133","34","158","25","154","38","538","268","176","51","150","57","87","58","71","57","54","45",""
"感染症及び寄生虫症","25","20","5","1","","","","","","","","","","","","","","","","","","4","","3","1","1","","1","2","10","2","4","","","","2","","2","1","2","1",""
"結核","4","4","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","1","","","","","","","","","","1","",""
"その他","21","16","5","1","","","","","","","","","","","","","","","","","","2","","2","1","1","","1","2","9","2","4","","","","2","","2","1","1","1",""
"新生物","112","75","37","","","","","","","","","","","","","","","","1","1","2","","","5","","6","5","16","3","47","26","16","8","16","1","7","10","1","6","7","1",""
"内分泌・栄養・代謝・免疫疾患","101","68","33","","","","","","","","","","","1","","4","","5","2","9","1","7","5","3","3","5","2","7","2","27","18","14","3","6","3","4","4","2","3","1","5",""
"糖尿病","37","29","8","","","","","","","","","","","1","","2","","3","1","4","","4","2","1","","2","2","2","2","10","1","5","","4","1","1","","","","","",""
"その他","64","39","25","","","","","","","","","","","","","2","","2","1","5","1","3","3","2","3","3","","5","","17","17","9","3","2","2","3","4","2","3","1","5",""
"神経系の疾患","35","21","14","","1","","","","","","","1","","1","","1","","","","2","1","2","","2","2","2","","1","1","9","9","3","1","","4","2","2","2","1","2","1",""
"循環器系の疾患","984","750","234","1","","","1","1","","","","8","1","6","1","20","4","28","4","54","9","76","23","94","18","110","8","87","25","265","140","90","25","71","31","40","30","40","29","24","25",""
"高血圧性心疾患","24","23","1","","","","","","","","","","","","","1","","1","","1","","1","1","6","","3","","4","","6","","1","","2","","1","","2","","","",""
"虚血性心疾患","429","365","64","","","","","1","","","","","","1","","5","","12","2","25","3","31","","40","5","56","1","43","8","151","45","53","6","42","12","25","9","18","11","13","7",""
"その他の心疾患","206","137","69","1","","","1","","","","","8","1","4","","4","1","8","1","14","4","15","9","17","8","13","4","13","4","40","36","12","6","10","9","5","6","9","6","4","9",""
"肺性心疾患及び肺循環の疾患","23","15","8","","","","","","","","","","","","","2","","","","1","1","1","3","3","1","2","","2","2","4","1","1","1","","","1","","1","","1","",""
"脳血管疾患","186","138","48","","","","","","","","","","","1","1","6","3","5","1","11","","21","5","15","2","27","3","15","6","37","27","13","6","9","4","5","8","6","6","4","3",""
"動脈・細動脈及び毛細血管の疾患","92","58","34","","","","","","","","","","","","","1","","1","","1","","6","4","9","2","6","","8","2","26","26","9","5","8","6","3","6","4","4","2","5",""
"その他","24","14","10","","","","","","","","","","","","","1","","1","","1","1","1","1","4","","3","","2","3","1","5","1","1","","","","1","","2","","1",""
"呼吸器系の疾患","152","114","38","5","2","1","","","","","","","","1","","2","1","2","1","2","1","5","1","2","4","12","1","11","","71","27","20","4","19","9","15","5","9","6","8","3",""
"肺炎","95","66","29","3","1","1","","","","","","","","1","","","1","1","1","1","","1","1","1","3","9","1","9","","39","21","12","3","9","7","10","4","4","4","4","3",""
"その他","57","48","9","2","1","","","","","","","","","","","2","","1","","1","1","4","","1","1","3","","2","","32","6","8","1","10","2","5","1","5","2","4","",""
"消化器系の疾患","222","174","48","1","","","","","","","","","","1","","3","","5","4","9","3","10","1","19","5","19","6","26","3","81","26","24","7","27","5","16","3","7","7","7","4",""
"アルコール性肝疾患","75","64","11","","","","","","","","","","","1","","2","","3","3","6","3","4","1","7","1","8","","10","1","23","2","12","1","8","1","","","3","","","",""
"非アルコール性肝疾患","31","22","9","","","","","","","","","","","","","","","","1","","","2","","3","2","4","2","4","1","9","3","3","","3","1","2","","1","2","","",""
"その他","116","88","28","1","","","","","","","","","","","","1","","2","","3","","4","","9","2","7","4","12","1","49","21","9","6","16","3","14","3","3","5","7","4",""
"尿路性器系の疾患","27","15","12","","","","","","","","","","","","","","","1","1","","","1","","1","1","","1","1","","11","9","4","","5","2","","2","2","3","","2",""
"先天奇形・変形及び染色体異常","5","2","3","","1","","","","","","","","","","","","","1","","1","","","","","","","","","","","2","","2","","","","","","","","",""
"原因不明の突然死","10","4","6","2","2","","","","","","","","","1","1","","","","","1","1","","","","","","1","","","","1","","","","1","","","","","","",""
"乳児突然死症候群","4","2","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"急性心機能不全","6","2","4","","","","","","","","","","","1","1","","","","","1","1","","","","","","1","","","","1","","","","1","","","","","","",""
"その他・不詳","44","32","12","","","","","","","","","","","","","1","","1","","","","2","1","4","","3","1","4","2","17","8","1","1","6","1","1","2","6","1","3","3",""
"不慮の外因死（２～８）","331","212","119","3","","","","","","","","4","1","3","","3","3","5","","9","5","8","7","9","5","25","9","26","7","117","82","31","17","31","11","32","20","14","21","9","13",""
"2交通事故","9","5","4","","","","","","","","","","","","","","1","","","1","","1","1","","","1","","1","","1","2","1","","","","","2","","","","",""
"3転倒･転落","66","45","21","","","","","","","","","2","","","","","","1","","1","","2","1","1","","5","","2","1","31","19","3","3","10","1","9","2","7","6","2","7",""
