"番号","項目","平成25年度実績","平成31年度目標","担当局"
"","妊娠・出産・子育ての切れ目ない支援体制の構築（妊娠届の受理、各種訪問事業等、子育てスタート支援事業、出産・子育て応援事業など）","","62区市町村で、地域の実情に応じ、妊娠・出産・子育ての切れ目ない支援体制を構築","福祉保健局"
"23","周産期医療システムの整備","294床","31年度NICU320床確保","福祉保健局"
"47","地域子育て支援拠点事業（子育てひろば事業）の充実","808か所","地域支援又は利用者支援事業を行う子育てひろばを62区市町村で実施","福祉保健局"
"50","利用者支援事業","4区市","62区市町村","福祉保健局"
"","多様なニーズに対応した保育や預かり等のサービスの実施（一時預かり事業、ファミリー・サポート・センター事業、子育て短期支援事業（ショートステイ、トワイライトステイ）、延長保育事業、休日保育、夜間保育など）","","62区市町村で、地域の実情に応じた実施体制の整備","福祉保健局"
"63","保育サービスの拡充","（H26.4.1現在）保育サービス利用児童数234,911人","平成30年4月時点保育サービス利用児童数40,000人増（平成26年度を含む）","福祉保健局"
"78","病児保育事業の充実","119か所49区市(23区26市）","160か所","福祉保健局"
"87","地域スポーツクラブの設立・育成支援事業","47区市町村116クラブ(21区'54クラブ、21市：57クラブ、2町：2クラブ、3村：3クラブ）","32年度全区市町村で設置","オリンピック・パラリンピック準備局"
"88","子育て世代向けのスポーツ教室等を実施する地域スポーツクラブの拡大","平成26年度事業予定20地区、20クラブ、20事業","32年度全クラブで実施","オリンピック・パラリンピック準備局"
"89","総合的な子供の基礎体力向上方策の推進","全国体カ・運動能力、運動週間等調査都道府県順位【小学生】男子：18位女子25位【中学生】男子：47位女子44位","平成31年度に昭和50年代の水準まで向上","教育庁"
"138","学童クラブ事業","登録児童数89,327人(H26.5.1現在）H22.5.1現在との比較5,232人増","平成31年度（平成32年5月）登録児童数12,000人増","福祉保健局"
"139","学童クラブ事業","登録児童数89,327人(H26.5.1現在）H22.5.1現在との比較5,232人増","平成31年度（平成32年5月）登録児童数12,000人増","福祉保健局"
"140","学童クラブ事業","登録児童数89,327人(H26.5.1現在）H22.5.1現在との比較5,232人増","平成31年度（平成32年5月）登録児童数12,000人増","福祉保健局"
"142","放課後子供教室","52区市町1,101教室","全小学校区に設置","教育庁"
"147","家庭的養護（養育家庭等、ファミリーホーム、グループホーム）の推進","・1,197人（養育家庭等407人、グループホーム131ホーム790人）家庭的養護31.2%・ファミリーホーム14か所（うち法人型2か所）","・平成41年度において、社会的養護に占める家庭的養護の割合が概ね6割となるよう、養育家庭等・ファミリーホーム・グループホームを推進していく。／・29年度までにファミリーホームを21か所（うち法人型8か所）設置する。","福祉保健局"
"149","サテライト型児童養護施設の設置","","29年度までに3か所","福祉保健局"
"150","専門機能強化型児童養護施設制度","民間児童養護施設40か所","29年度までに全民間児童養護施設(53か所）","福祉保健局"
"164","高等学校卒業程度認定試験合格支援事業","","62区市町村","福祉保健局"
"167","母子・父子自立支援プログラム策定事業","17区19市","62区市町村","福祉保健局"
"172","ひとり親家庭の子供の学習支援の推進（学習支援ボランティア事業又は生活困窮者自立支援法に基づく学習支援事業の実施）","","62区市町村","福祉保健局"
"133","ひとり親家庭の子供の学習支援の推進（学習支援ボランティア事業又は生活困窮者自立支援法に基づく学習支援事業の実施）","","62区市町村","福祉保健局"
"181","短期入所事業の充実","定員数838人（障害者分を含む）","29年度までに220人分の短期入所整備（障害者分を含む）","福祉保健局"
"184","児童発達支援センターの設置促進","","29年度までに10か所増","福祉保健局"
"245","子育て世帯に配慮した住宅の供給促進","","27~29年度認定戸数1,200戸","都市整備局"
"251","緑の拠点となる公園の整備","新規開園面積13.7ha（平成25年度）","平成36年度までに新たに170ha開園","建設局"
"252","こころとからだを育てる活動体験（野外体験里山体験）の活動広場拠点づくり","","28年度モデル公園の基本設計／36年度8か所","建設局"
