"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","85","65","7","15","23","38","68","114","168","221","276"
"1～2歳","4","64","65","30","30","30","30","32","65","123","142","158"
"3～5歳","5","48","27","16","19","23","35","41","59","76","82","87"
"6～7歳","6","46","27","19","22","26","35","41","45","72","85","96"
"8～9歳","3","75","18","56","58","60","68","80","85","88","90","90"
"10～11歳","5","81","23","44","51","59","84","86","91","99","102","104"
"12～14歳","8","82","71","22","23","25","30","66","93","161","196","225"
"15～17歳","6","62","27","28","33","39","52","59","69","89","98","106"
"18～29歳","20","76","53","12","27","31","38","52","103","142","159","206"
"30～49歳","42","68","40","11","21","23","38","67","82","120","143","174"
"50～69歳","60","90","81","9","15","20","37","64","113","211","274","357"
"70歳以上","46","112","70","3","13","27","61","116","163","210","226","255"
"女性総数","228","99","73","8","20","32","47","81","125","206","253","322"
"1～2歳","3","61","38","24","27","31","42","60","80","91","95","98"
"3～5歳","2","100","50","65","68","72","82","100","118","128","132","135"
"6～7歳","6","74","29","45","48","51","57","66","83","105","115","123"
"8～9歳","4","58","32","20","23","27","40","60","79","87","90","92"
"10～11歳","1","39","0","39","39","39","39","39","39","39","39","39"
"12～14歳","8","129","93","47","49","51","66","98","159","254","278","297"
"15～17歳","7","67","29","42","43","44","45","64","76","98","111","121"
"18～29歳","17","90","54","5","16","34","50","93","109","138","169","216"
"30～49歳","60","79","56","17","24","28","41","63","103","149","199","258"
"50～69歳","71","108","86","6","16","23","50","89","133","252","281","349"
"70歳以上","49","123","78","16","33","37","51","115","184","215","240","320"
"(再掲)妊婦","1","150","0","150","150","150","150","150","150","150","150","150"
"授乳婦","1","32","0","32","32","32","32","32","32","32","32","32"
