"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","点字用紙封筒の作成・販売","事務用品","30","1000","1か月","３枚入￥150","発注元による回収希望","有","有","有","企業さまのイベント記念品として￥1200セット×180点納品"
"2","パイオニア","東京都盲人福祉協会","新宿区","03-3208-9001","山本","https://www.normanet.ne.jp/~tomou/service/pioneer.html","pioneers@tomoukyo.or.jp","点字古紙封筒の受注","事務用品","100","1500","2か月","1枚￥20","自力での納品可","有","有","有","定型サイズ（角型３号・長３・長4・洋型封筒など）の封筒を点字リサイクル用紙で作成したものを受注しております。（印刷も可）"
"3","すまいる・さぽーと品川","一般社団法人すまいる・さぽーと品川","品川区","03-6433-3356","福井","","info@smile-support.or.jp","名刺印刷","事務用品","","","1～4日","500円～/100枚","自力での納品可","無","無","有","黒1色からフルカラー、片面・両面印刷可能ロゴマークの対応も可能です"
"4","すまいる・さぽーと品川","一般社団法人すまいる・さぽーと品川","品川区","03-6433-3356","福井","","info@smile-support.or.jp","文具、事務用品、日用品の納品","事務用品","","","1日～","都度見積","自力での納品可","無","有","有",""
"5","明日楽","アスラ株式会社","大田区","03-6428-7042","大森","http://asura.info","query@asura.info","ハガキ・ポチ袋セット作業","事務用品","1000セット","100000セット","1～2週間程度","3円/1セット（要相談）","発注元による回収希望","無","無","有","丁合や封入封緘、ラベル貼りといった作業も相談可能。納入方法：大型トラックでの搬入搬出可能（発注元で手配お願いします）"
"6","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","チラシの封入・封緘","事務用品","500部","5000部","１０日間","１円/1工程","自力での納品可","無","無","有","チラシ織りこみから対応します"
"7","世田谷区立玉川福祉作業所","社会福祉法人大三島育徳会","世田谷区","03-3707-0498","石野","http://www.oomishima.jp","honen@tamahuku.jp","箱等組み立て","事務用品","５００個","３０００個","週","１円/1工程","発注元による回収希望","無","無","有","贈答用お菓子箱の組み立ての納品実績があります帽子・手袋を着用衛生面に配慮しています"
"8","みどり工房","NPO法人よりどりみどり","渋谷区","03-3356-9517","熊沢","https://npoyoridori.wixsite.com/npoyoridori","info@midori-kobo.org","名刺の印刷","事務用品","1名分100枚1セット","５名様分","2週間","新規：2000円リピーター：1000円","発注元による回収希望","","","有","優先受注で区からも承っています。カラー印刷の場合は、1000円の追加料金がかかります。"
"9","E・G・B・A","（社福）豊芯会","豊島区","03-3915-9063","武岡","http://www.housinkai.or.jp","su-takeoka@housinkai.or.jp","経理伝票類のファイリング","事務用品","別途相談","別途相談","別途相談","別途相談","自力での納品可","無","無","有","経理伝票類のファイリング"
"10","ワークインあすか","特定非営利活動法人北区精神を守る家族会飛鳥会","北区","03-3910-7550","松岡","","work-in-asuks@bz04.plala.or.jp","紙袋の製袋","事務用品","","100","1日","30円","自力での納品可","無","無","有","紙袋の製袋を行っている業者から資材を受け取り製袋作業を行っている。"
