"","24年度父(28人)母(1650人)","24年度母(1650人)","19年度父(20人)","19年度母(1938人)"
"結婚のため(%)","","25.9","","33.5"
"育児に専念したかったため(%)","3.6","34.2","10.0","35.4"
"子供の預け先がなかったため(遠かったため)(%)","","3.6","","2.4"
"仕事を続けることについて、家族の理解がえられなかったから(%)","","0.9","","0.9"
"家族の介護や看護のため(%)","","1.2","","1.0"
"家族の転勤や通勤上の理由のため(%)","","5.3","","3.7"
"健康上の理由(%)","35.7","4.9","5.0","4.2"
"仕事が自分に向かなかったから(%)","10.7","1.3","5.0","0.7"
"労働条件(労働時間、賃金等)が合わなかったから(%)","7.1","2.4","25","2.4"
"勤務先で仕事と子育てを両立する制度(育児休業、短時間勤務等)が整っていなかったから(%)","","5.8","",""
"仕事と子育てを両立することについて、職場の理解が得られなかったから※(%)","3.6","1.7","","3.1"
"仕事を続けることの意義を感じなかったから(%)","7.1","1.5","10.0","2.1"
"会社倒産や人事整理など会社の都合から(%)","21.4","2.1","25.0","1.7"
"その他(%)","10.7","4.4","5.0","5.8"
"無回答(%)","","4.7","15.0","3.1"
