"","青梅市","東大和市","八王子市","中野区","豊島区","品川区","足立区","八丈島"
"短期型／NO(ppb)／測定数","47","48","48","48","45","48","48","30"
"短期型／NO(ppb)／平均値","13","21","23","22","20","21","23","7"
"短期型／NO(ppb)／標準偏差","7.64","13.77","14.69","13.59","11.54","12.23","13.21","3.79"
"短期型／NO2(ppb)／測定数","47","48","48","48","46","48","48","30"
"短期型／NO2(ppb)／平均値","23","29","28","33","35","34","34","7"
"短期型／NO2(ppb)／標準偏差","4.39","4.30","4.36","5.48","5.98","5.58","5.92","1.70"
"長期型／NO(ppb)／測定数","46","46","46","46","46","45","46","27"
"長期型／NO(ppb)／平均値","9","21","22","19","18","19","21","8"
"長期型／NO(ppb)／標準偏差","7.59","17.96","16.53","16.75","14.47","15.09","15.65","6.04"
"長期型／NO2(ppb)／測定数","46","46","46","46","46","45","46","27"
"長期型／NO2(ppb)／平均値","23","29","28","33","35","34","34","7"
"長期型／NO2(ppb)／標準偏差","5.60","6.91","6.73","8.80","8.35","8.44","8.28","1.74"
"浮遊粒子状物質／微小粒子（μg/m3）／測定数","48","48","46","48","47","47","46","23"
"浮遊粒子状物質／微小粒子（μg/m3）／平均値","20","23","26","22","25","23","27","9"
"浮遊粒子状物質／微小粒子（μg/m3）／標準偏差","5.91","6.67","7.48","6.27","8.21","7.69","9.25","3.32"
"浮遊粒子状物質／粗大粒子（μg/m3）／測定数","48","46","46","48","47","47","46","20"
"浮遊粒子状物質／粗大粒子（μg/m3）／平均値","7","6","4","7","6","6","7","6"
"浮遊粒子状物質／粗大粒子（μg/m3）／標準偏差","4.38","5.02","2.42","4.10","4.27","3.87","5.39","3.82"
