"種別","名称","郵便番号","所在地","緯度","経度","座標系","電話番号"
"老人福祉センターA","足立区悠々会館","121-0812","足立区西保木間4-9-1","35.803547","139.796707","JGD2011","03-3859-9732"
"老人福祉センターB","中央本町悠々館","121-0011","足立区中央本町3-15-1","35.772480","139.809586","JGD2011","03-3852-1434"
"老人福祉センターB","梅島悠々館","121-0816","足立区梅島2-14-5","35.775040","139.799469","JGD2011","03-3849-6374"
"老人福祉センターB","伊興悠々館","121-0823","足立区伊興5-22-13","35.798256","139.780121","JGD2011","03-3855-2707"
"老人福祉センターB","西新井本町悠々館","123-0845","足立区西新井本町2-30-37","35.776531","139.771606","JGD2011","03-3890-5555"
"老人福祉センターB","保塚悠々館","121-0072","足立区保塚町7-16","35.786789","139.816452","JGD2011","03-3858-1876"
"老人福祉センターB","平野悠々館","121-0076","足立区平野2-2-14","35.782352","139.804810","JGD2011","03-3884-7765"
"老人福祉センターB","西新井悠々館","123-0841","足立区西新井7-19-6","35.781879","139.772018","JGD2011","03-3854-1527"
"老人福祉センターB","舎人悠々館","121-0831","足立区舎人1-3-26","35.806156","139.773453","JGD2011","03-3857-0881"
"老人福祉センターB","鹿浜悠々館","123-0864","足立区鹿浜6-8-1","35.783966","139.758743","JGD2011","03-3857-6550"
"老人福祉センターB","五反野悠々館","120-0014","足立区西綾瀬2-1-13","35.761963","139.814178","JGD2011","03-3886-2643"
"老人福祉センターB","興本悠々館","123-0854","足立区本木東町17-10","35.767487","139.780975","JGD2011","03-3889-0388"
"老人福祉センターB","江北悠々館","123-0872","足立区江北2-8-2","35.767097","139.763275","JGD2011","03-3890-6224"
"老人福祉センターB","加平悠々館","121-0055","足立区加平1-10-6","35.775127","139.828171","JGD2011","03-3605-8842"
"老人福祉センターB","扇悠々館","123-0873","足立区扇1-47-38","35.765686","139.775589","JGD2011","03-3896-0688"
"老人福祉センターB","南花畑悠々館","121-0062","足立区南花畑3-14-7","35.790478","139.824661","JGD2011","03-3859-9868"
"老人福祉センターB","長門悠々館","120-0002","足立区中川2-24-2-101","35.768509","139.856949","JGD2011","03-3629-8231"
"老人福祉センターB","千住あずま悠々館","120-0025","足立区千住東2-21-18","35.745598","139.810455","JGD2011","03-3882-1218"
"老人福祉センターB","東和悠々館","120-0003","足立区東和3-12-9","35.771023","139.839294","JGD2011","03-3628-6206"
"老人福祉センターB","千住河原町悠々館","120-0037","足立区千住河原町6-4","35.744537","139.796188","JGD2011","03-3870-7228"
"老人福祉センターB","西新井栄町悠々館","123-0843","足立区西新井栄町3-1-6-101","35.776257","139.783096","JGD2011","03-3880-7705"
"老人福祉センターB","西伊興悠々館","121-0824","足立区西伊興1-12-12","35.790966","139.773148","JGD2011","03-3896-7362"
"老人福祉センターB","花畑悠々館","121-0061","足立区花畑4-16-8","35.803093","139.807175","JGD2011","03-3850-2602"
"老人福祉センターB","東綾瀬悠々館","120-0004","足立区東綾瀬1-28-7","35.766323","139.833054","JGD2011","03-5697-3370"
"老人福祉センターB","東伊興悠々館","121-0801","足立区東伊興1-5-22","35.803574","139.785782","JGD2011","03-3899-8531"
"老人福祉センターB","渕江悠々館","121-0812","足立区西保木間1-2-1-101","35.794834","139.802002","JGD2011","03-3850-3467"
