"","施設総数","マニュアルやガイドライン等の資料を見直した／施設数","マニュアルやガイドライン等の資料を見直した／割合","所・園内でのアレルギー対策に関する話し合いの機会を作った／施設数","所・園内でのアレルギー対策に関する話し合いの機会を作った／割合","研修会や講演会に参加するよう努めた／施設数","研修会や講演会に参加するよう努めた／割合","相談できる関係機関の把握をおこなった／施設数","相談できる関係機関の把握をおこなった答／割合","職員間で相談できる環境を整備した／施設数","職員間で相談できる環境を整備した／割合","今後検討する予定／施設数","今後検討する予定／割合","特になし／施設数","特になし／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1588","1248","78.6","1285","80.9","1321","83.2","526","33.1","741","46.7","21","1.3","14","0.9","152","9.6","30","1.9"
"認証保育所＊","527","376","71.3","407","77.2","395","75.0","156","29.6","254","48.2","6","1.1","11","2.1","31","5.9","14","2.7"
"認定こども園＊","95","64","67.4","66","69.5","66","69.5","25","26.3","46","48.4","1","1.1","5","5.3","5","5.3","",""
"幼稚園＊","666","306","45.9","423","63.5","342","51.4","136","20.4","283","42.5","34","5.1","40","6.0","39","5.9","12","1.8"
"ベビーホテル","331","170","51.4","192","58.0","169","51.1","78","23.6","116","35.0","21","6.3","21","6.3","18","5.4","14","4.2"
"家庭的保育","596","192","32.2","72","12.1","191","32.0","76","12.8","65","10.9","38","6.4","159","26.7","44","7.4","54","9.1"
"学童保育","1169","874","74.8","781","66.8","967","82.7","267","22.8","586","50.1","26","2.2","16","1.4","57","4.9","14","1.2"
"上記以外の施設","376","196","52.1","202","53.7","194","51.6","78","20.7","140","37.2","41","10.9","25","6.6","23","6.1","14","3.7"
"総数","5348","3426","64.1","3428","64.1","3645","68.2","1342","25.1","2231","41.7","188","3.5","291","5.4","369","6.9","152","2.8"
"＊前回調査施設 (再掲）","2876","1994","69.3","2181","75.8","2124","73.9","843","29.3","1324","46.0","62","2.2","70","2.4","227","7.9","56","1.9" 
