"","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／合計","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／1","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／2","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／3","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／4","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／5","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ア あなたのお住まいの地域の人々は､お互いに助け合っている／無回答","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／合計","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／1","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／2","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／3","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／4","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／5","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／イ あなたのお住まいの地域の人々は､信頼できる／無回答","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／合計","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／1","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／2","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／3","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／4","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／5","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／ウ あなたのお住まいの地域の人々は､お互いにあいさつをしている／無回答","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／合計","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／1","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／2","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／3","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／4","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／5","問20 あなたのお住まいの地域についておたずねします｡次のアからエの質問について､あてはまる番号を1つ選んで○印をつけて下さい｡(1 強くそう思う ２ どちらかといえばそう思う ３ どちらともいえない ４ どちらかといえばそう思わない ５ 全くそう思わない)／エ あなたのお住まいの地域では､問題が生じた場合､人々は力を合わせて解決しようとする／無回答"
"全体総数(人)","411","29","185","140","38","18","1","411","30","194","157","25","4","1","411","81","241","63","19","7","0","411","33","164","168","34","11","1"
"全体総数(%)","100.00","7.10","45.00","34.10","9.20","4.40","0.20","100.00","7.30","47.20","38.20","6.10","1","0.20","100.00","19.70","58.60","15.30","4.60","1.7","0.00","100.00","8.00","39.90","40.90","8.30","2.70","0.20"
"20～29歳(人)","38","4","12","13","5","3","1","38","3","10","18","6","0","1","38","5","20","7","4","2","0","38","3","8","19","4","3","1"
"20～29歳(%)","100.00","10.50","31.60","34.20","13.20","7.90","2.60","100.00","7.90","26.30","47.40","15.80","0.00","2.60","100.00","13.20","52.60","18.40","10.50","5.30","0.00","100.00","7.90","21.10","50.00","10.50","7.90","2.60"
"30～39歳(人)","39","2","14","16","5","2","0","39","1","14","20","4","0","0","39","5","23","10","1","0","0","39","1","18","14","4","2","0"
"30～39歳(%)","100.00","5.10","35.90","41.00","12.80","5.10","0.00","100.00","2.60","35.90","51.30","10.30","0.00","0.00","100.00","12.80","59.00","25.60","2.60","0.00","0.00","100.00","2.60","46.20","35.90","10.30","5.10","0.00"
"40～49歳(人)","77","5","36","27","6","3","0","77","5","43","25","4","0","0","77","12","48","12","4","1","0","77","5","36","29","6","1","0"
"40～49歳(%)","100.00","6.50","46.80","35.10","7.80","3.90","0.00","100.00","6.50","55.80","32.50","5.20","0.00","0.00","100.00","15.60","62.30","15.60","5.20","1.3","0.00","100.00","6.50","46.80","37.70","7.80","1.3","0.00"
"50～59歳(人)","67","2","34","26","4","1","0","67","2","36","25","3","1","0","67","10","44","9","2","2","0","67","2","32","28","4","1","0"
"50～59歳(%)","100.00","3.00","50.70","38.80","6.00","1.5","0.00","100.00","3.00","53.70","37.30","4.50","1.5","0.00","100.00","14.90","65.70","13.40","3.00","3.00","0.00","100.00","3.00","47.80","41.80","6.00","1.5","0.00"
"60～69歳(人)","85","5","42","27","10","1","0","85","4","40","35","5","1","0","85","16","55","11","3","0","0","85","5","36","38","5","1","0"
"60～69歳(%)","100.00","5.90","49.40","31.80","11.8","1.2","0.00","100.00","4.70","47.10","41.20","5.90","1.2","0.00","100.00","18.80","64.70","12.90","3.50","0.00","0.00","100.00","5.90","42.40","44.70","5.90","1.2","0.00"
"70歳～(人)","105","11","47","31","8","8","0","105","15","51","34","3","2","0","105","33","51","14","5","2","0","105","17","34","40","11","3","0"
"70歳～(%)","100.00","10.50","44.80","29.50","7.60","7.60","0.00","100.00","14.30","48.60","32.40","2.90","1.9","0.00","100.00","31.40","48.60","13.30","4.80","1.9","0.00","100.00","16.20","32.40","38.10","10.50","2.90","0.00"
"男性総数(人)","193","14","74","78","20","7","0","193","11","80","87","14","1","0","193","30","105","40","14","4","0","193","14","69","87","18","5","0"
"男性総数(%)","100.00","7.30","38.30","40.40","10.40","3.60","0.00","100.00","5.70","41.50","45.10","7.30","0.50","0.00","100.00","15.50","54.40","20.70","7.30","2.10","0.00","100.00","7.30","35.80","45.10","9.30","2.60","0.00"
"20～29歳(人)","19","2","7","6","3","1","0","19","2","5","9","3","0","0","19","3","8","4","2","2","0","19","2","3","10","3","1","0"
"20～29歳(%)","100","10.5","36.8","31.6","15.8","5.3","0","100","10.5","26.3","47.4","15.8","0","0","100","15.8","42.1","21.1","10.5","10.5","0","100","10.5","15.8","52.6","15.8","5.3","0"
"30～39歳(人)","25","2","8","11","3","1","0","25","1","7","13","4","0","0","25","5","11","8","1","0","0","25","1","13","7","3","1","0"
"30～39歳(%)","100","8","32","44","12","4","0","100","4","28","52","16","0","0","100","20","44","32","4","0","0","100","4","52","28","12","4","0"
"40～49歳(人)","29","2","8","13","4","2","0","29","2","12","13","2","0","0","29","3","16","7","3","0","0","29","1","13","11","3","1","0"
"40～49歳(%)","100","6.9","27.6","44.8","13.8","6.9","0","100","6.9","41.4","44.8","6.9","0","0","100","10.3","55.2","24.1","10.3","0","0","100","3.4","44.8","37.9","10.3","3.4","0"
"50～59歳(人)","34","1","17","16","0","0","0","34","1","19","13","1","0","0","34","5","19","8","1","1","0","34","1","14","17","2","0","0"
"50～59歳(%)","100","2.9","50","47.1","0","0","0","100","2.9","55.9","38.2","2.9","0","0","100","14.7","55.9","23.5","2.9","2.9","0","100","2.9","41.2","50","5.9","0","0"
"60～69歳(人)","36","3","14","16","3","0","0","36","2","14","19","1","0","0","36","4","24","6","2","0","0","36","2","11","22","1","0","0"
"60～69歳(%)","100","8.3","38.9","44.4","8.3","0","0","0","5.6","38.9","52.8","2.8","0","0","100","11.1","66.7","16.7","5.6","0","0","100","5.6","30.6","61.1","2.8","0","0"
"70歳～(人)","50","4","20","16","7","3","0","50","3","23","20","3","1","0","50","10","27","7","5","1","0","50","7","15","20","6","2","0"
"70歳～(%)","100","8","40","32","14","6","0","100","6","46","40","6","2","0","100","20","54","14","10","2","0","100","14","30","40","12","4","0"
"女性総数(人)","218","15","111","62","18","11","1","218","19","114","70","11","3","1","218","51","136","23","5","3","0","218","19","95","81","16","6","1"
"女性総数(%)","100","6.9","50.9","28.4","8.3","5","0.5","100","8.7","52.3","32.1","5","1.4","0.5","100","23.4","62.4","10.6","2.3","1.4","0","100","8.7","43.6","37.2","7.3","2.8","0.5"
"20～29歳(人)","19","2","5","7","2","2","1","19","1","5","9","3","0","1","19","2","12","3","2","0","0","19","1","5","9","1","2","1"
"20～29歳(%)","100","10.5","26.3","36.8","10.5","10.5","5.3","100","5.3","26.3","47.4","15.8","0","5.3","100","10.5","63.2","15.8","10.5","0","0","100","5.3","26.3","47.4","5.3","10.5","5.3"
"30～39歳(人)","14","0","6","5","2","1","0","14","0","7","7","0","0","0","14","0","12","2","0","0","0","14","0","5","7","1","1","0"
"30～39歳(%)","100","0","42.9","35.7","14.3","7.1","0","100","0","50","50","0","0","0","100","0","85.7","14.3","0","0","0","100","0","35.7","50","7.1","7.1","0"
"40～49歳(人)","48","3","28","14","2","1","0","48","3","31","12","2","0","0","48","9","32","5","1","1","0","48","4","23","18","3","0","0"
"40～49歳(%)","100","6.3","58.3","29.2","4.2","2.1","0","100","6.3","64.6","25","4.2","0","0","100","18.8","66.7","10.4","2.1","2.1","0","100","8.3","47.9","37.5","6.3","0","0"
"50～59歳(人)","33","1","17","10","4","1","0","33","1","17","12","2","1","0","33","5","25","1","1","1","0","33","1","18","11","2","1","0"
"50～59歳(%)","100.00","3.00","51.50","30.30","12.10","3.00","0.00","100.00","3.00","51.50","36.40","6.10","3.00","0.00","100.00","15.20","75.80","3.00","3.00","3.00","0.00","100.00","3.00","54.50","33.30","6.10","3.00","0.00"
"60～69歳(人)","49","2","28","11","7","1","0","49","2","26","16","4","1","0","49","12","31","5","1","0","0","49","3","25","16","4","1","0"
"60～69歳(%)","100.00","4.10","57.10","22.40","14.30","2.00","0.00","100.00","4.10","53.10","32.70","8.20","2.00","0.00","100.00","24.50","63.30","10.20","2.00","0.00","0.00","100.00","6.10","51.00","32.70","8.20","2.00","0.00"
"70歳～(人)","55","7","27","15","1","5","0","55","12","28","14","0","1","0","55","23","24","7","0","1","0","55","10","19","20","5","1","0"
"70歳～(%)","100.00","12.70","49.10","27.30","1.8","9.10","0.00","100.00","21.80","50.90","25.50","0.00","1.8","0.00","100.00","41.80","43.60","12.70","0.00","1.8","0.00","100.00","18.20","34.50","36.40","9.10","1.8","0.00"
