"","総数／人","総数／％","至適血圧／人","至適血圧／％","正常血圧／人","正常血圧／％","正常高値血圧／人","正常高値血圧／％","1度高血圧／人","1度高血圧／％","2度高血圧／人","2度高血圧／％","3度高血圧／人","3度高血圧／％","(再掲)収縮期高血圧／人","(再掲)収縮期高血圧／％"
"総数","168","100.00","47","28.00","30","17.90","44","26.20","35","20.80","10","6.00","2","1.20","21","12.50"
"総数／20～29","7","100","7","100","0","0","0","0","0","0","0","0","0","0","0","0"
"総数／30～39","3","100","2","66.7","1","33.3","0","0","0","0","0","0","0","0","0","0"
"総数／40～49","37","100","16","43.2","7","18.9","9","24.3","4","10.8","1","2.7","0","0","0","0"
"総数／50～59","25","100","8","32","6","24","4","16","7","28","0","0","0","0","3","12"
"総数／60～69","44","100","8","18.2","6","13.6","12","27.3","14","31.8","3","6.8","1","2.3","7","15.9"
"総数／70歳以上","52","100","6","11.5","10","19.2","19","36.5","10","19.2","6","11.5","1","1.9","11","21.2"
"総数／(再掲)40～74歳","128","100","35","27.3","23","18","34","26.6","27","21.1","7","5.5","2","1.6","13","10.2"
"総数／(再掲)65～74歳","52","100","8","15.4","8","15.4","17","32.7","13","25","4","7.7","2","3.8","9","17.3"
"総数／(再掲)75歳以上","30","100","3","10","6","20","10","33.3","8","26.7","3","10","0","0","8","26.7"
"男／総数","68","100","10","14.7","14","20.6","22","32.4","16","23.5","6","8.8","0","0","5","7.4"
"男／20～29","3","100","3","100","0","0","0","0","0","0","0","0","0","0","0","0"
"男／30～39","1","100","0","0","1","100","0","0","0","0","0","0","0","0","0","0"
"男／40～49","9","100","1","11.1","1","11.1","3","33.3","3","33.3","1","11.1","0","0","0","0"
"男／50～59","8","100","1","12.5","3","37.5","2","25","2","25","0","0","0","0","0","0"
"男／60～69","18","100","3","16.7","3","16.7","3","16.7","8","44.4","1","5.6","0","0","3","16.7"
"男／70歳以上","29","100","2","6.9","6","20.7","14","48.3","3","10.3","4","13.8","0","0","2","6.9"
"男／(再掲)40～74歳","50","100","6","12","11","22","15","30","14","28","4","8","0","0","3","6"
"男／(再掲)65～74歳","28","100","3","10.7","6","21.4","9","32.1","8","28.6","2","7.1","0","0","3","10.7"
"男／(再掲)75歳以上","14","100","1","7.1","2","14.3","7","50","2","14.3","2","14.3","0","0","2","14.3"
"女／総数","100","100","37","37","16","16","22","22","19","19","4","4","2","2","16","16"
"女／20～29","4","100","4","100","0","0","0","0","0","0","0","0","0","0","0","0"
"女／30～39","2","100","2","100","0","0","0","0","0","0","0","0","0","0","0","0"
"女／40～49","28","100","15","53.6","6","21.4","6","21.4","1","3.6","0","0","0","0","0","0"
"女／50～59","17","100","7","41.2","3","17.6","2","11.8","5","29.4","0","0","0","0","3","17.6"
"女／60～69","26","100","5","19.2","3","11.5","9","34.6","6","23.1","2","7.7","1","3.8","4","15.4"
"女／70歳以上","23","100","4","17.4","4","17.4","5","21.7","7","30.4","2","8.7","1","4.3","9","39.1"
"女／(再掲)40～74歳","78","100","29","37.2","12","15.4","19","24.4","13","16.7","3","3.8","2","2.6","10","12.8"
"女／(再掲)65～74歳","24","100","5","20.8","2","8.3","8","33.3","5","20.8","2","8.3","2","8.3","6","25"
"女／(再掲)75歳以上","16","100","2","12.5","4","25","3","18.8","6","37.5","1","6.3","0","0","6","37.5"
