"全国／年","全国／性別","全国／35-39歳(人)","全国／40-44(人)","全国／45-49(人)","全国／50-54(人)","全国／55-59(人)","全国／60-64(人)","全国／65-69(人)","全国／70-74(人)"
"平成21年","総数","27","36","29","32","42","55","109","143"
"平成21年","男性","19","21","20","13","25","33","59","79"
"平成21年","女性","8","15","9","19","17","22","50","64"
"平成20年","総数","28","40","36","37","76","96","117","179"
"平成20年","男性","16","21","18","19","47","64","76","115"
"平成20年","女性","12","19","18","18","29","32","41","64"
"平成19年","総数","31","33","39","47","68","93","143","217"
"平成19年","男性","17","20","20","27","40","55","83","125"
"平成19年","女性","14","13","19","20","28","38","60","92"
"平成18年","総数","31","26","29","48","88","97","163","249"
"平成18年","男性","20","16","13","29","53","54","101","142"
"平成18年","女性","11","10","16","19","35","43","62","107"
