"","家庭食／件数","家庭食／(%)","調理済み食／件数","調理済み食／(%)","外食／件数","外食／(%)","給食／保育所･幼稚園給食､学校給食／件数","給食／保育所･幼稚園給食､学校給食／(%)","給食／職場給食／件数","給食／職場給食／(%)","給食／小計／件数","給食／小計／(%)","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／件数","その他／(その他1)菓子･果物､乳製品､嗜好飲料などの食品のみを食べた場合／(%)","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／件数","その他／(その他2)錠剤などのサプリメント､栄養ドリンク剤のみの場合／(%)","その他／(欠食)食事をしなかった場合／件数","その他／(欠食)食事をしなかった場合／(%)","その他／小計／件数","その他／小計／(%)","不明／件数","不明／(%)","合計／件数","合計／(%)"
"全体総数","199","47","45","10.6","101","23.9","44","10.4","18","4.3","62","14.7","5","1.2","0","0","11","2.6","16","3.8","0","0","423","100"
"1-6歳","4","23.5","1","5.9","1","5.9","11","64.7","0","0","11","64.7","0","0","0","0","0","0","0","0","0","0","17","100"
"7-14歳","6","16.7","0","0","0","0","30","83.3","0","0","30","83.3","0","0","0","0","0","0","0","0","0","0","36","100"
"15-19歳","15","68.2","0","0","4","18.2","2","9.1","0","0","2","9.1","0","0","0","0","1","4.5","1","4.5","0","0","22","100"
"20-29歳","11","44","2","8","8","32","0","0","2","8","2","8","1","4","0","0","1","4","2","8","0","0","25","100"
"30-39歳","13","38.2","2","5.9","15","44.1","0","0","2","5.9","2","5.9","0","0","0","0","2","5.9","2","5.9","0","0","34","100"
"40-49歳","31","45.6","10","4.7","18","26.5","0","0","5","7.4","5","7.4","2","2.9","0","0","2","2.9","4","5.9","0","0","68","100"
"50-59歳","19","32.8","6","0.3","21","36.2","0","0","8","13.8","8","13.8","2","3.4","0","0","2","3.4","4","6.9","0","0","58","100"
"60-69歳","36","51.4","11","5.7","20","28.6","0","0","1","1.4","1","1.4","0","0","0","0","2","2.9","2","2.9","0","0","70","100"
"70歳以上","64","68.8","13","4","14","15.1","1","1.1","0","0","1","1.1","0","0","0","0","1","1.1","1","1.1","0","0","93","100"
"男性総数","79","39.5","14","7","61","30.5","26","13","12","6","38","19","3","1.5","0","0","5","2.5","8","4","0","0","200","100"
"1-6歳","3","27.3","0","0","1","9.1","7","63.6","0","0","7","63.6","0","0","0","0","0","0","0","0","0","0","11","100"
"7-14歳","1","5.3","0","0","0","0","18","94.7","0","0","18","94.7","0","0","0","0","0","0","0","0","0","0","19","100"
"15-19歳","7","70","0","0","3","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","100"
"20-29歳","5","35.7","1","7.1","6","42.9","0","0","1","7.1","1","7.1","1","7.1","0","0","0","0","1","7.1","0","0","14","100"
"30-39歳","7","35","0","0","10","50","0","0","2","10","2","10","0","0","0","0","1","5","1","5","0","0","20","100"
"40-49歳","8","36.4","2","9.1","7","31.8","0","0","2","9.1","2","9.1","1","4.5","0","0","2","9.1","3","13.6","0","0","22","100"
"50-59歳","5","17.2","2","6.9","14","48.3","0","0","7","24.1","7","24.1","1","3.4","0","0","0","0","1","3.4","0","0","29","100"
"60-69歳","12","40","5","16.7","12","40","0","0","0","0","0","0","0","0","0","0","1","3.3","1","3.3","0","0","30","100"
"70歳以上","31","68.9","4","8.9","8","17.8","1","2.2","0","0","1","2.2","0","0","0","0","1","2.2","1","2.2","0","0","45","100"
"女性総数","120","53.8","31","13.9","40","17.9","18","8.1","6","2.7","24","10.8","2","0.9","0","0","6","2.7","8","3.6","0","0","223","100"
"1-6歳","1","16.7","1","16.7","0","0","4","66.7","0","0","4","66.7","0","0","0","0","0","0","0","0","0","0","6","100"
"7-14歳","5","29.4","0","0","0","0","12","70.6","0","0","12","70.6","0","0","0","0","0","0","0","0","0","0","17","100"
"15-19歳","8","66.7","0","0","1","8.3","2","16.7","0","0","2","16.7","0","0","0","0","1","8.3","1","8.3","0","0","12","100"
"20-29歳","6","54.5","1","9.1","2","18.2","0","0","1","9.1","1","9.1","0","0","0","0","1","9.1","1","9.1","0","0","11","100"
"30-39歳","6","42.9","2","4.3","5","35.7","0","0","0","0","0","0","0","0","0","0","1","7.1","1","7.1","0","0","14","100"
"40-49歳","23","50","8","7.4","11","23.9","0","0","3","6.5","3","6.5","1","2.2","0","0","0","0","1","2.2","0","0","46","100"
"50-59歳","14","48.3","4","3.8","7","24.1","0","0","1","3.4","1","3.4","1","3.4","0","0","2","6.9","3","10.3","0","0","29","100"
"60-69歳","24","60","6","5","8","20","0","0","1","2.5","1","2.5","0","0","0","0","1","2.5","1","2.5","0","0","40","100"
"70歳以上","33","68.8","9","8.8","6","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48","100"
