"","高度急性期機能(床)","急性期機能(床)","回復期機能(床)","慢性期機能(床)","計(床)","在宅医療等(人/日)","（再掲）訪問診療のみ(人/日)"
"東京都","15888","42275","34628","20973","113764","197277","143429"
"区中央部","3331","6682","3848","608","14469","11864","9055"
"区南部","1349","3564","2730","927","8570","17700","13728"
"区西南部","1492","3710","3080","1701","9983","24344","19273"
"区西部","2056","4982","3944","1134","12116","21932","16490"
"区西北部","1845","5513","4879","3147","15384","28844","20956"
"区東北部","837","3162","3370","2347","9716","19227","14266"
"区東部","1088","3633","2739","957","8417","15672","11522"
"西多摩","275","967","1031","1475","3748","4120","1787"
"南多摩","995","3290","3067","4391","11743","20047","13661"
"北多摩西部","595","1787","1453","1001","4836","8178","5226"
"北多摩南部","1429","3087","2637","1551","8704","15069","10695"
"北多摩北部","596","1877","1830","1734","6037","9975","6584"
"島しょ","0","21","20","0","41","305","186"
