"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","加賀1・2丁目（1～5番、12～18番）、板橋1・2丁目（1～17番、22～53番、 56～69番）・3・4丁目、大山東町（17番、19番、21～25番、28番、30～55番）","板橋おとしより相談センター","ｲﾀﾊﾞｼｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5248-2892","03-5248-2897","173-0003","板橋区加賀1-3-1","35.753708","139.720825","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"2","板橋2丁目（18～21番、54番、55番）、大山金井町、大山東町（1～16番、 18番、26番、27番、29番）、熊野町、中丸町、幸町（1～6番）、南町","熊野おとしより相談センター","ｸﾏﾉｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5926-6566","03-3973-3531","173-0026","板橋区中丸町27-11","35.741203","139.703323","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"3","加賀2丁目（6～11番、19～21番）、稲荷台、仲宿、氷川町、栄町","仲宿おとしより相談センター","ﾅｶｼﾞｭｸｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","02-5944-4611","03-5944-4612","173-0003","板橋区加賀2-1-1","35.754284","139.715225","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"4","大山町、幸町（7～66番）、大山西町、弥生町、仲町、中板橋、大山東町（20番、56～60番）","仲町おとしより相談センター","ﾅｶﾁｮｳｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5917-5201","03-5917-5202","173-0022","板橋区仲町20-5","35.751335","139.696503","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"5","本町、大和町、双葉町、富士見町","富士見おとしより相談センター","ﾌｼﾞﾐｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5392-0023","03-5392-0363","174-0071","板橋区常盤台1-21-20","35.760326","139.694580","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"6","大谷口1・2丁目、大谷口上町、大谷口北町、向原１～３丁目、小茂根１・２丁目","大谷口おとしより相談センター","ｵｵﾔｸﾞﾁｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5964-5620","03-5964-5628","173-0036","板橋区向原3-7-8","35.745014","139.684341","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"7","上板橋1～3丁目、常盤台1～4丁目、南常盤台１・２丁目、東新町1丁目","常盤台おとしより相談センター","ﾄｷﾜﾀﾞｲｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5398-8651","03-5398-8653","174-0071","板橋区常盤台4-36-6","35.765316","139.676071","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"8","清水町、蓮沼町、大原町、泉町、宮本町","清水おとしより相談センター","ｼﾐｽﾞｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3558-6500","03-3558-6501","174-0055","板橋区泉町16-16","35.766449","139.702408","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"9","志村1～3丁目、小豆沢1～4丁目、坂下1丁目（1～26番、28番）、相生町（1～12番11号、13～16番）、東坂下1丁目","志村坂上おとしより相談センター","ｼﾑﾗｻｶｳｴｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3967-2131","03-3967-2132","174-0051","板橋区小豆沢1-12-4","35.773235","139.698486","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"10","若木1～3丁目、中台1～3丁目、西台1・2丁目（1～30番4号、41番、42番）・ 3丁目（1～46番、48～54番）・4丁目","中台おとしより相談センター","ﾅｶﾀﾞｲｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3933-8875","03-3933-1955","174-0065","板橋区若木1-21-3","35.768047","139.672073","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"11","蓮根1～3丁目、坂下1丁目（27番、29～41番）・2・3丁目、相生町（12番12号と13号、17～26番）、東坂下2丁目","蓮根おとしより相談センター","ﾊｽﾈｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5970-9106","03-5914-6293","174-0042","板橋区東坂下2-2-22","35.783401","139.690460","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"12","舟渡1～4丁目、新河岸1～2丁目、高島平7～9丁目","舟渡おとしより相談センター","ﾌﾅﾄﾞｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3969-3136","03-3969-3155","174-0041","板橋区舟渡3-4-8","35.792301","139.681030","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"13","前野町1～6丁目","前野おとしより相談センター","ﾏｴﾉｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5915-2636","03-5915-2697","174-0063","板橋区前野町2-30-9","35.766281","139.689377","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"14","大谷口1・2丁目、大谷口上町、大谷口北町、向原1～3丁目、小茂根1～5丁目","桜川おとしより相談センター","ｻｸﾗｶﾞﾜｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3959-7485","03-3959-7438","173-0037","板橋区小茂根4-11-11","35.746452","139.675278","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"15","赤塚1・2・5丁目（1～17番）・6～8丁目、赤塚新町1～3丁目、大門、四葉1丁目（3番10号、4～31番）・2丁目","下赤塚おとしより相談センター","ｼﾓｱｶﾂｶｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3930-1821","03-3930-1874","175-0084","板橋区四葉2-21-16","35.783703","139.650894","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"16","赤塚3・4・5丁目（18～36番）、成増1～4丁目","成増おとしより相談センター","ﾅﾘﾏｽｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3939-0678","03-3939-3510","175-0094","板橋区成増4-14-18","35.783161","139.635513","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"17","高島平4～6丁目、成増5丁目、三園1・2丁目、新河岸3丁目","三園おとしより相談センター","ﾐｿﾉｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-3939-1101","03-3939-1136","175-0094","板橋区成増5-6-3","35.784565","139.629913","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"18","西台2丁目（30番5号～17号、31～40番）・3丁目（47番、55～57番）、徳丸1～8丁目、四葉1丁目（1～3番※）※3番1０号を除く","徳丸おとしより相談センター","ﾄｸﾏﾙｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5921-1060","03-3933-0805","175-0083","板橋区徳丸3-32-28","35.775143","139.657623","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","",""
"19","高島平1～3丁目","高島平おとしより相談センター","ﾀｶｼﾏﾀﾞｲﾗｵﾄｼﾖﾘｿｳﾀﾞﾝｾﾝﾀｰ","03-5922-5661","03-5922-5655","175-0082","板橋区高島平2-32-2","35.786983","139.663055","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の総合相談窓口","〇","","","","〇",""
"20","区内全域","板橋区おとしより保健福祉センター地域ケア推進係","ｲﾀﾊﾞｼｸｵﾄｼﾖﾘﾎｹﾝﾌｸｼｾﾝﾀｰﾁｲｷｹｱｽｲｼﾝｶｶﾘ","03-5970-1119","03-5392-2060","174-0063","板橋区前野町4-16-1","35.771248","139.690063","JGD2011","〔月曜日～土曜日〕 9時～17時※","高齢者の見守り事業担当課","","","","〇","〇",""
"21","区内全域","板橋区消費者センター","ｲﾀﾊﾞｼｸｼｮｳﾋｼｬｾﾝﾀｰ","(相談専用)03-3962-3511","03-3962-3955","173-0004","板橋区板橋2-65-6 情報処理センター7階","35.750027","139.708633","JGD2011","〔受付時間〕平日9時～16時30分","","","","","〇","","〇"
