"","発見のきっかけ","要支援～要介護２／N＝１５８","要介護３～５／N＝１９２","申請中／N＝１２","自立・未申請／N＝９６","不明・無回答／N＝７","合計／N＝４６５"
"1","高齢者本人からの申告(回答数)","44","18","1","34","0","97"
"1","高齢者本人からの申告(%)","27.8","9.4","8.3","35.4","","20.9"
"2","虐待者からの申告(回答数)","7","22","1","5","0","35"
"2","虐待者からの申告(%)","4.4","11.5","8.3","5.2","","7.5"
"3","虐待者以外の家族等からの申告(回答数)","23","25","3","20","1","72"
"3","虐待者以外の家族等からの申告(%)","14.6","13.0","25.0","20.8","14.3","15.5"
"4","ケアマネジャーからの連絡(回答数)","53","90","1","3","1","148"
"4","ケアマネジャーからの連絡(%)","33.5","46.9","8.3","3.1","14.3","31.8"
"5","ホームヘルパーからの連絡(回答数)","16","26","1","0","0","43"
"5","ホームヘルパーからの連絡(%)","10.1","13.5","8.3","","","9.2"
"6","介護保険事業者（４．５．以外）からの連絡(回答数)","8","28","0","0","0","36"
"6","介護保険事業者（４．５．以外）からの連絡(%)","5.1","14.6","","","","7.7"
"7","保健所・保健センターからの連絡(回答数)","4","4","1","3","0","12"
"7","保健所・保健センターからの連絡(%)","2.5","2.1","8.3","3.1","","2.6"
"8","医療機関からの連絡(回答数)","14","17","2","8","1","42"
"8","医療機関からの連絡(%)","8.9","8.9","16.7","8.3","14.3","9.0"
"9","福祉事務所（ケースワーカー）からの連絡(回答数)","7","5","0","4","1","17"
"9","福祉事務所（ケースワーカー）からの連絡(%)","4.4","2.6","","4.2","14.3","3.7"
"10","民生委員からの連絡(回答数)","17","8","0","13","0","38"
"10","民生委員からの連絡(%)","10.8","4.2","","13.5","","8.2"
"11","要介護認定の調査段階で発見(回答数)","10","11","3","3","0","27"
"11","要介護認定の調査段階で発見(%)","6.3","5.7","25.0","3.1","","5.8"
"12","近隣住民からの連絡(回答数)","16","17","1","9","3","46"
"12","近隣住民からの連絡(%)","10.1","8.9","8.3","9.4","42.9","9.9"
"13","友人・知人からの連絡(回答数)","3","3","0","4","0","10"
"13","友人・知人からの連絡(%)","1.9","1.6","","4.2","","2.2"
"14","銀行等金融機関からの連絡(回答数)","0","1","0","1","0","2"
"14","銀行等金融機関からの連絡(%)","","0.5","","1.0","","0.4"
"15","不明(回答数)","1","0","0","1","0","2"
"15","不明(%)","0.6","","","1.0","","0.4"
"16","その他(回答数)","16","9","2","18","2","47"
"16","その他(%)","10.1","4.7","16.7","18.8","28.6","10.1"
"0","無回答(回答数)","0","0","0","0","0","0"
"0","無回答(%)","","","","","",""
