"","総数","聞いたことがある／人数","聞いたことがある／割合","なし／人数","なし／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","686","85.0","99","12.3","22","2.7"
"１呼吸器症状、ぜん息／なし","2558","2180","85.2","321","12.5","57","2.2"
"２食物アレルギー／あり","733","630","85.9","82","11.2","21","2.9"
"２食物アレルギー／なし","2643","2247","85.0","337","12.8","59","2.2"
"３アトピー性皮膚炎／あり","677","558","82.4","95","14.0","24","3.5"
"３アトピー性皮膚炎／なし","2684","2307","86.0","321","12.0","56","2.1"
"４アレルギー性鼻炎／あり","710","593","83.5","89","12.5","28","3.9"
"４アレルギー性鼻炎／なし","2646","2268","85.7","327","12.4","51","1.9"
"５アレルギー性結膜炎／あり","288","235","81.6","46","16.0","7","2.4"
"５アレルギー性結膜炎／なし","3052","2613","85.6","368","12.1","71","2.3"
"６じんましん／あり","694","598","86.2","77","11.1","19","2.7"
"６じんましん／なし","2665","2265","85.0","341","12.8","59","2.2"
"７その他のアレルギー疾患／あり","91","71","78.0","17","18.7","3","3.3"
"７その他のアレルギー疾患／なし","3196","2729","85.4","392","12.3","75","2.3"
"何らかのアレルギーの症状または診断／あり","1996","1696","85.0","246","12.3","54","2.7"
"何らかのアレルギーの症状または診断／なし","1435","1223","85.2","184","12.8","28","2.0" 
