"","総数／人","総数／％","20-29歳／人","20-29歳／％","30-39歳／人","30-39歳／％","40-49歳／人","40-49歳／％","50-59歳／人","50-59歳／％","60-69歳／人","60-69歳／％","70歳以上／人","70歳以上／％","(再掲)65-69歳／人","(再掲)65-69歳／％","(再掲)70-74歳／人","(再掲)70-74歳／％","(再掲)75-79歳／人","(再掲)75-79歳／％","(再掲)80-84歳／人","(再掲)80-84歳／％"
"男／総数","56","100","3","100","1","100","8","100","6","100","16","100","22","100","11","100","12","100","8","100","2","100"
"男／120mg／dl未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／120～140未満","3","5.4","1","33.3","0","0","0","0","0","0","1","6.3","1","4.5","1","9.1","1","8.3","0","0","0","0"
"男／140～160未満","4","7.1","1","33.3","0","0","0","0","1","16.7","2","12.5","0","0","2","18.2","0","0","0","0","0","0"
"男／160～180未満","8","14.3","0","0","0","0","0","0","1","16.7","2","12.5","5","22.7","2","18.2","1","8.3","4","50","0","0"
"男／180～200未満","15","26.8","0","0","0","0","3","37.5","2","33.3","4","25","6","27.3","1","9.1","3","25","3","37.5","0","0"
"男／200～220未満","9","16.1","0","0","1","100","4","50","0","0","1","6.3","3","13.6","1","9.1","2","16.7","0","0","1","50"
"男／220～240未満","9","16.1","1","33.3","0","0","0","0","1","16.7","4","25","3","13.6","3","27.3","3","25","0","0","0","0"
"男／240～260未満","4","7.1","0","0","0","0","0","0","0","0","0","0","4","18.2","0","0","2","16.7","1","12.5","1","50"
"男／260～280未満","4","7.1","0","0","0","0","1","12.5","1","16.7","2","12.5","0","0","1","9.1","0","0","0","0","0","0"
"男／280～300未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／300以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"男／220以上(再掲)","17","30.4","1","33.3","0","0","1","12.5","2","33.3","6","37.5","7","31.8","4","36.4","5","41.7","1","12.5","1","50"
"男／240以上(再掲)","8","14.3","0","0","0","0","1","12.5","1","16.7","2","12.5","4","18.2","1","9.1","2","16.7","1","12.5","1","50"
"男／平均値mg／dl","199.7","","170.3","","210","","207.5","","199","","200.3","","200.3","","193.9","","205","","186.6","","226.5",""
"男／標準偏差","36.9","","57","","0","","28.6","","46.2","","41.8","","32.8","","44.5","","35.8","","25.7","","27.6",""
"女／総数","81","100","4","100","2","100","24","100","13","100","22","100","16","100","14","100","5","100","9","100","2","100"
"女／120mg／dl未満","1","1.2","0","0","0","0","0","0","0","0","0","0","1","6.3","0","0","0","0","1","11.1","0","0"
"女／120～140未満","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"女／140～160未満","3","3.7","1","25","1","50","0","0","0","0","0","0","1","6.3","0","0","0","0","0","0","1","50"
"女／160～180未満","7","8.6","0","0","1","50","4","16.7","1","7.7","1","4.5","0","0","1","7.1","0","0","0","0","0","0"
"女／180～200未満","16","19.8","1","25","0","0","4","16.7","2","15.4","5","22.7","4","25","4","28.6","2","40","2","22.2","0","0"
"女／200～220未満","11","13.6","2","50","0","0","4","16.7","2","15.4","2","9.1","1","6.3","2","14.3","0","0","1","11.1","0","0"
"女／220～240未満","23","28.4","0","0","0","0","6","25","4","30.8","9","40.9","4","25","6","42.9","2","40","2","22.2","0","0"
"女／240～260未満","9","11.1","0","0","0","0","5","20.8","1","7.7","1","4.5","2","12.5","0","0","0","0","2","22.2","0","0"
"女／260～280未満","5","6.2","0","0","0","0","1","4.2","0","0","2","9.1","2","12.5","1","7.1","1","20","1","11.1","0","0"
"女／280～300未満","4","4.9","0","0","0","0","0","0","2","15.4","1","4.5","1","6.3","0","0","0","0","0","0","1","50"
"女／300以上","2","2.5","0","0","0","0","0","0","1","7.7","1","4.5","0","0","0","0","0","0","0","0","0","0"
"女／220以上(再掲)","43","53.1","0","0","0","0","12","50","8","61.5","14","63.6","9","56.3","7","50","3","60","5","55.6","1","50"
"女／240以上(再掲)","20","24.7","0","0","0","0","6","25","4","30.8","5","22.7","5","31.3","1","7.1","1","20","3","33.3","1","50"
"女／平均値mg／dl","218.5","","190.5","","166.5","","213.9","","229.5","","227.5","","217.6","","212.5","","221.2","","214.9","","221",""
"女／標準偏差","38.5","","29.3","","12","","30.3","","42.4","","37.5","","45.8","","25.5","","33.6","","45.3","","101.8",""
