"担当","電話番号","主な担当内容"
"事務室／庶務担当","042-376-1111","・庶務関係"
"広報援助課／広報計画担当","042-376-6580","・当センターの見学受付け（デイケアの利用を検討されている方の見学については、生活訓練科にお問い合わせください）"
"広報援助課／広報計画担当","042-376-6580","・リーフレット等について"
"広報援助課／広報計画担当","042-376-6580","・精神保健福祉の動向（多摩地域編）"
"広報援助課／広報計画担当","042-376-6580","・事業概要、調査研究等"
"広報援助課／広報計画担当","042-376-6580","・「NETWORKたま」、ホームページ"
"広報援助課／広報計画担当","042-376-6580","・ボランティアの問い合わせ"
"広報援助課／広報計画担当","042-376-6580","・地域関係機関での研修等への講師派遣相談"
"広報援助課／研修担当","042-376-6580","・精神保健福祉研修"
"広報援助課／研修担当","042-376-6580","・学生実習"
"広報援助課／援助担当","042-376-6580","・関係機関への地域支援（障害者総合支援法等の法律、社会制度、社会資源等の情報提供）"
"広報援助課／援助担当","042-376-6580","・社会適応訓練事業や就労支援"
"広報援助課／援助担当","042-376-6580","・各種会議の運営協力や支援、事例検討会への協力や支援、地域での組織育成協力や支援、講演会企画ならびに講師派遣相談"
"広報援助課／地域体制整備担当","042-376-6580","・精神障害者地域移行体制整備支援事業の問い合わせ"
"広報援助課／相談担当","・関係機関の方／042-376-6580","・関係機関からの相談業務に関する連絡や問い合わせ"
"広報援助課／相談担当","・一般の方相談専用電話（こころの電話相談）／042-371-5560","・電話相談や面接相談の申込み"
"広報援助課／相談担当","・一般の方相談専用電話（こころの電話相談）／042-371-5560","・｢アルコール･薬物等問題家族教室｣、｢社会的ひきこもり家族教室｣"
"広報援助課／アウトリーチ","042-376-6585","・アウトリーチ支援事業の問い合わせ"
"生活訓練科","042-373-7711","･思春期･青年期デイケア、ショートケア利用申込み、相談・問い合わせ"
