"","よく","時々","あまり","しない"
"対象者数","685","1165","420","79"
"持続性せき","48","95","20","8"
"%","7.01","8.15","4.76","10.13"
"持続性たん","82","156","44","8"
"%","11.97","13.39","10.48","10.13"
"持続性せきたん","26","55","9","3"
"%","3.8","4.72","2.14","3.8"
"ぜんそく様症状現在","12","38","9","2"
"%","1.75","3.26","2.14","2.53"
"ぜんそく様症状寛解","13","26","10","3"
"%","1.9","2.23","2.38","3.8"
"ぜん鳴症状","30","53","4","1"
"%","4.38","4.55","0.95","1.27"
"慢性気管支炎","29","56","12","2"
"%","4.23","4.81","2.86","2.53"
"肺気腫","15","29","4","1"
"%","2.19","2.49","0.95","1.27"
"じんましん","53","112","36","10"
"%","7.74","9.61","8.57","12.66"
"アトピー性皮膚炎","22","37","15","6"
"%","3.21","3.18","3.57","7.59"
"アレルギー性鼻炎","89","219","84","16"
"%","12.99","18.8","20","20.25"
"アレルギー性結膜炎","14","32","15","3"
"%","2.04","2.75","3.57","3.8"
"花粉症","185","342","126","25"
"%","27.01","29.36","30","31.65"
"食物アレルギー","21","26","5","4"
"%","3.07","2.23","1.19","5.06"
