"","症状有または診断有（除去食物への記載ありn=373）／人数","症状有または診断有（除去食物への記載ありn=373）／割合","症状有（除去食物への記載ありn=369）／人数","症状有（除去食物への記載ありn=369）／割合","診断有（原因食物への記載ありn=332）／人数","診断有（原因食物への記載ありn=332）／割合"
"現在制限または除去している食物数／1種類","213","57.1","210","56.9","179","53.9"
"現在制限または除去している食物数／2種類","75","20.1","74","20.1","70","21.1"
"現在制限または除去している食物数／3種類","36","9.7","36","9.8","35","10.5"
"現在制限または除去している食物数／4種類","16","4.3","16","4.3","16","4.8"
"現在制限または除去している食物数／5種類","8","2.1","8","2.2","7","2.1"
"現在制限または除去している食物数／6種類","8","2.1","8","2.2","8","2.4"
"現在制限または除去している食物数／7種類","7","1.9","7","1.9","7","2.1"
"現在制限または除去している食物数／8種類","3","0.8","3","0.8","3","0.9"
"現在制限または除去している食物数／9種類","2","0.5","2","0.5","2","0.6"
"現在制限または除去している食物数／10種類以上","5","1.3","5","1.4","5","1.5" 
