"相対的貧困率／順位","相対的貧困率／国名","相対的貧困率／割合","子どもの貧困率／順位","子どもの貧困率／国名","子どもの貧困率／割合","子供がいる世帯の相対的貧困率／合計／順位","子供がいる世帯の相対的貧困率／合計／国名","子供がいる世帯の相対的貧困率／合計／割合","子供がいる世帯の相対的貧困率／大人が一人／順位","子供がいる世帯の相対的貧困率／大人が一人／国名","子供がいる世帯の相対的貧困率／大人が一人／割合","子供がいる世帯の相対的貧困率／大人が二人以上／順位","子供がいる世帯の相対的貧困率／大人が二人以上／国名","子供がいる世帯の相対的貧困率／大人が二人以上／割合"
"1","チェコ","5.8","1","デンマーク","3.7","1","デンマーク","3.0","1","デンマーク","9.3","1","ドイツ","2.6"
"2","デンマーク","6.0","2","フィンランド","3.9","2","フィンランド","3.7","2","フィンランド","11.4","1","デンマーク","2.6"
"3","アイスランド","6.4","3","ノルウェー","5.1","3","ノルウェー","4.4","3","ノルウェー","14.7","3","ノルウェー","2.8"
"4","ハンガリー","6.8","4","アイスランド","7.1","4","アイスランド","6.3","4","スロヴァキア","15.9","4","フィンランド","3.0"
"5","ルクセンブルク","7.2","5","オーストリア","8.2","5","オーストリア","6.7","5","英国","16.9","5","アイスランド","3.4"
"6","フィンランド","7.3","5","スウェーデン","8.2","6","スウェーデン","6.9","6","スウェーデン","18.6","6","スウェーデン","4.3"
"7","ノルウェー","7.5","7","チェコ","9.0","7","ドイツ","7.1","7","アイルランド","19.5","7","オーストリア","5.4"
"7","オランダ","7.5","8","ドイツ","9.1","8","チェコ","7.6","8","フランス","25.3","7","オランダ","5.4"
"9","スロヴァキア","7.8","9","スロベニア","9.4","9","オランダ","7.9","8","ポーランド","25.3","9","フランス","5.6"
"10","フランス","7.9","9","ハンガリー","9.4","10","スロベニア","8.2","10","オーストリア","25.7","10","チェコ","6.0"
"11","オーストリア","8.1","9","韓国","9.4","11","フランス","8.7","11","アイスランド","27.1","11","スロベニア","6.7"
"12","ドイツ","8.8","12","英国","9.8","11","スイス","8.7","12","ギリシャ","27.3","12","スイス","7.2"
"13","アイルランド","9.0","12","スイス","9.8","13","ハンガリー","9.0","13","ニュージーランド","28.8","13","ハンガリー","7.5"
"14","スウェーデン","9.1","14","オランダ","9.9","14","英国","9.2","14","ポルトガル","30.9","13","ベルギー","7.5"
"15","スロベニア","9.2","15","アイルランド","10.2","15","アイルランド","9.7","15","メキシコ","31.3","15","ニュージーランド","7.9"
"16","スイス","9.5","16","フランス","11.0","16","ルクセンブルク","9.9","15","オランダ","31.3","15","ルクセンブルク","7.9"
"17","ベルギー","9.7","17","ルクセンブルク","11.4","17","ニュージーランド","10.4","17","スイス","31.6","15","英国","7.9"
"18","英国","9.9","18","スロヴァキア","12.1","18","ベルギー","10.5","18","エストニア","31.9","18","アイルランド","8.3"
"19","ニュージーランド","10.3","19","エストニア","12.4","19","スロヴァキア","10.9","19","ハンガリー","32.7","19","オーストラリア","8.6"
"20","ポーランド","11.0","20","ベルギー","12.8","20","エストニア","11.4","20","チェコ","33.2","20","カナダ","9.3"
"21","ポルトガル","11.4","21","ニュージーランド","13.3","21","カナダ","11.9","21","スロベニア","33.4","21","エストニア","9.7"
"22","エストニア","11.7","22","ポーランド","13.6","22","ポーランド","12.1","22","ドイツ","34.0","22","スロヴァキア","10.7"
"23","カナダ","11.9","23","カナダ","14.0","23","オーストラリア","12.5","23","ベルギー","34.3","23","ポーランド","11.8"
"24","イタリア","13.0","24","オーストラリア","15.1","24","ポルトガル","14.2","24","イタリア","35.2","24","日本","12.7"
"25","ギリシャ","14.3","25","日本","15.7","25","日本","14.6","25","トルコ","38.2","25","ポルトガル","13.1"
"26","オーストラリア","14.5","26","ポルトガル","16.2","26","ギリシャ","15.8","26","スペイン","38.8","26","アメリカ","15.2"
"27","韓国","14.9","27","ギリシャ","17.7","27","イタリア","16.6","27","カナダ","39.8","26","ギリシャ","15.2"
"28","スペイン","15.4","28","イタリア","17.8","28","アメリカ","18.6","28","ルクセンブルク","44.2","28","イタリア","15.4"
"29","日本","16.0","29","スペイン","20.5","29","スペイン","18.9","29","オーストラリア","44.9","29","チリ","17.9"
"30","アメリカ","17.4","30","アメリカ","21.2","30","チリ","20.5","30","アメリカ","45.0","30","スペイン","18.2"
"31","チリ","18.0","31","チリ","23.9","31","メキシコ","21.5","31","イスラエル","47.7","31","メキシコ","21.0"
"32","トルコ","19.3","32","メキシコ","24.5","32","トルコ","22.9","32","チリ","49.0","32","トルコ","22.6"
"33","メキシコ","20.4","33","トルコ","27.5","33","イスラエル","24.3","33","日本","50.8","33","イスラエル","23.3"
"34","イスラエル","20.9","34","イスラエル","28.5","","韓国","","","韓国","","","韓国",""
"","OECD平均","11.3","","OECD平均","13.3","","OECD平均","11.6","","OECD平均","31.0","","OECD平均","9.9"
