"","常勤職員／施設総数","常勤職員の合計数／0人(人)","常勤職員の合計数／1人(人)","常勤職員の合計数／２～4人(人)","常勤職員の合計数／５～９人(人)","常勤職員の合計数／10人～19人(人)","常勤職員の合計数／20人～29人(人)","常勤職員の合計数／30人～39人(人)","常勤職員の合計数／40人～49人(人)","常勤職員の合計数／50人以上(人)","非常勤職員／施設総数","非常勤職員の合計数／0人(人)","非常勤職員の合計数／1人(人)","非常勤職員の合計数／２～4人(人)","非常勤職員の合計数／５～９人(人)","非常勤職員の合計数／10人～19人(人)","非常勤職員の合計数／20人～29人(人)","非常勤職員の合計数／30人～39人(人)","非常勤職員の合計数／40人～49人(人)","非常勤職員の合計数／50人以上(人)"
"認可保育所＊","1576","","2","18","23","538","762","185","34","14","1576","","","10","16","168","475","513","261","133"
"認証保育所＊","525","","1","12","270","233","8","1","","","525","","1","2","40","399","74","8","1",""
"認定こども園＊","94","","","1","11","36","27","13","6","","94","","","1","2","23","25","20","13","10"
"幼稚園＊","664","","4","61","202","290","83","19","4","1","664","","3","15","113","349","129","39","14","2"
"ベビーホテル","313","1","28","142","96","39","1","5","","1","323","1","2","51","158","90","13","3","2","3"
"家庭的保育","554","2","420","125","7","","","","","","563","2","266","235","59","1","","","",""
"学童保育","1021","10","167","662","159","18","4","1","","","1137","","2","291","629","200","8","6","1",""
"上記以外の施設","346","","36","169","107","23","9","2","","","376","","2","80","187","77","12","8","","1"
"総数","5093","13","658","1190","875","1177","894","226","44","16","5249","3","276","685","1204","1307","736","597","292","149"
"＊前回調査施設 (再掲）","2859","0","7","92","506","1097","880","218","44","15","2859","0","4","28","171","939","703","580","289","145"
