"","総数","研修に参加した人による伝達勉強会／施設数","研修に参加した人による伝達勉強会／割合","研修で使用した資料等を回覧.／施設数","研修で使用した資料等を回覧.／割合","所・園内の会議等で連絡／施設数","所・園内の会議等で連絡／割合","周知していない／施設数","周知していない／割合","その他／施設数","その他／割合","無回答／施設数","無回答／割合"
"認可保育所＊","1439","739","51.4","907","63.0","1065","74.0","15","1.0","52","3.6","6","0.4"
"認証保育所＊","422","220","52.1","293","69.4","295","69.9","1","0.2","12","2.8","2","0.5"
"認定こども園＊","72","34","47.2","42","58.3","51","70.8","","","4","5.6","",""
"幼稚園＊","355","191","53.8","219","61.7","160","45.1","7","2.0","19","5.4","1","0.3"
"ベビーホテル","181","98","54.1","130","71.8","96","53.0","1","0.6","7","3.9","2","1.1"
"家庭的保育","142","40","28.2","62","43.7","25","17.6","19","13.4","21","14.8","5","3.5"
"学童保育","957","490","51.2","715","74.7","483","50.5","7","0.7","86","9.0","6","0.6"
"上記以外の施設","206","104","50.5","134","65.0","97","47.1","4","1.9","18","8.7","2","1.0"
"総数","3774","1916","50.8","2502","66.3","2272","60.2","54","1.4","219","5.8","24","0.6"
"＊前回調査施設 (再掲）","2288","1184","51.7","1461","63.9","1571","68.7","23","1.0","87","3.8","9","0.4"
