"","全回答者（n＝2660）／未摂取","全回答者（n＝2660）／除去している食物を除いた未摂取食物","診断有（n＝518）／未摂取","診断有（n＝518）／除去している食物を除いた未摂取食物"
"1／卵","17","3","15","1"
"2／牛乳","12","3","10","1"
"3／小麦","2","0","2","0"
"4／そば","563","533","176","148"
"5／落花生","752","717","182","149"
"6／えび","146","139","44","37"
"7／かに","484","475","108","99"
"8／いくら","903","887","226","212"
"9／あわび","2404","2399","455","452"
"10／牛肉","15","13","3","1"
"11／いか","451","449","92","90"
"12／キウイ","266","264","55","53"
"13／オレンジ","29","29","7","7"
"14／くるみ","796","781","168","153"
"15／鶏肉","1","1","0","0"
"16／さけ","9","9","3","3"
"17／さば","221","217","44","40"
"18／大豆","11","11","0","0"
"19／豚肉","4","4","0","0"
"20／まつたけ","2099","2099","382","382"
"21／もも","66","66","12","12"
"22／やまいも","616","609","127","121"
"23／りんご","6","6","0","0"
"24／グミ／ゼラチン","150","150","30","30"
"25／バナナ","6","5","1","0"
"26／ごま","9","7","4","2"
"27／カシューナッツ","1386","1357","278","249"
"28／米","0","0","0","0" 
