"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","発送代行業務","封入・封緘","100","1000","要相談","応相談","発注元による回収希望","無","無","有","DMや案内状など、発送物の封入段階からの発送代行を請負っております。単価については案件ごとに異なりますので、ご相談ください。"
"2","リバーサイドつつじ","特定非営利活動法人つつじ","中央区","03-6673-8081","","http://npotutuji.com/riverside.html","rivetutu@yahoo.co.jp","封入作業","封入・封緘","100セット","1000セット","1週間～1ヵ月","1工程で金額を要相談","発注元による回収希望","無","無","有","封入内容、量等により、納期や単価、納品方法はご相談下さい。郵送費は別途かかります。"
"3","オフィスクローバー","社会福祉法人結の会","新宿区","03-3365-4177","松田暁子","https://yuinokai-clover.com","yuinokai@axel.ocn.ne.jp","ダイレクトメールなどの丁合、封入、封緘、発送","封入・封緘","100セット","5000セット","5日間","5点丁合封入、封緘で10円～50円","発注元による回収希望","有","有","有","イベントや会議の資料のセット組、関係機関や団体への機関誌の発送他、資料をセットし、封入可能。封筒に宛名シールとメール便シールや切手を貼付し発送可能。"
"4","ファロ","社会福祉法人東京ムツミ会","新宿区","03-3350-4437","徳堂","http://www.mutumi.or.jp","tokyo@mutumi.or.jp","封入・封緘","封入・封緘","1点封入1枚","1点封入の場合1000枚/日","土日祝を除く5日間","1工程1円～","発注元による回収希望","無","無","有","短納期・大量数に関しては、近隣事業所と共同受注で対応することも出来ます。"
"5","わーくすここ・から","公益財団法人新宿区勤労者・仕事支援センター","新宿区","03-3208-2278","大熊","http://www.sksc.or.jp","works-kokokara@sksc.or.jp","ＤＭ・チラシの封入や発送、宛名シール貼り等","封入・封緘","200","20000","7日間","１工程１～５円","発注元による回収希望","無","有","有","会報誌封入封緘、ポケットティッシュチラシ封入等"
"6","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","封入・封緘","封入・封緘","","5000","１週間","","自力での納品可","無","有","有",""
"7","就労センター『風』","特定非営利活動法人工房『風』","新宿区","03-3952-6014","馬場","http://kouboukaze.com/","kouboukaze@nifty.com","封入・封緘","封入・封緘","","5000","１週間","","自力での納品可","無","有","有",""
"8","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","封入作業","封入・封緘","500","100000","作業量による","2円/枚","発注元による回収希望","無","有","有","急ぎの作業にも対応します"
"9","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","受注作業","封入・封緘","適量","要相談","適時","要相談","自力での納品可","無","有","有","封入・封緘作業を行います。"
"10","アビーム","社会福祉法人復生あせび会","文京区","03-3945-2195","","http://www.asebika.com","abeam@asebikai.com","ダイレクトメール発送代行","封入・封緘","","３０００部","７営業日(原則）","","自力での納品可","無","無","有","３点封入までは５，０００部対応可能"
"11","は～と・ピア２","社会福祉法人文京槐の会","文京区","03-6801-8571","市川","http://www.enjunokai.com/","heartpia2@enjunokai.com","チラシ等の挿み込み","封入・封緘","500部","２０００部","３日","２円/１枚２．８円/２枚３．６円/３枚４．４円/４枚","自力での納品可","無","無","有",""
"12","ワークプレイスぶんぶん","武蔵野会","文京区","03-5940-2822","近藤","https://team-lien.com/","kondo@team-lien.com","封入・封緘","封入・封緘","100","15000","１０日","５円","自力での納品可","無","無","有","製品や内容によってお受けできない場合もありますが、いただける仕事は誠実に取り組みます。"
"13","銀杏企画","社会福祉法人本郷の森","文京区","03-5684-0991","瀬川","http://www.hongounomori.com/","ichou@hongounomori.com","封入・封緘","封入・封緘","100","70000","1か月","1工程2円～","自力での納品可","無","有","有","近くなら自力での納品も出来ますが、出来れば発注元の回収を望みます"
"14","銀杏企画","社会福祉法人本郷の森","文京区","03-5684-0991","瀬川","http://www.hongounomori.com/","ichou@hongounomori.com","封入・封緘","封入・封緘","","3500","1日","1工程2円～","自力での納品可","無","有","有","近くなら自力での納品も出来ますが、出来れば発注元の回収を望みます"
"15","銀杏企画","社会福祉法人本郷の森","文京区","03-5684-0991","瀬川","http://www.hongounomori.com/","ichou@hongounomori.com","封入・封緘","封入・封緘","","40200","1か月","21円～28円","自力での納品可","無","有","","文京区からの依頼郵便局納品までの手数料含む"
"16","銀杏企画2","社会福祉法人本郷の森","文京区","03-5684-0999","若狭","http://www.ab.auone-net.jp/~ichou2/","ichou2@hongounomori.com","ＤＭ・チラシの封入や発送、宛名シール貼り等","封入・封緘","","5000","5日","10円/1件","発注元による回収希望","無","有","有",""
