"番号","自治体名","住宅名","住宅の所在地","お問い合わせ先","電話番号","開設状況（開設予定時期）"
"1","中央区","グランドマスト勝どき","中央区勝どき","積和グランドマスト株式会社","03-5350-3900","開設済"
"2","中央区","ココファン勝どき","中央区勝どき","株式会社学研ココファン","03-6431-1860","開設済"
"3","中央区","（仮称）晴海五丁目ケアレジデンス","中央区晴海","株式会社東急イーライフデザイン","03-5414-1900","(R5.1.10)"
"4","中央区","（仮称）晴海五丁目シニアレジデンス","中央区晴海","東急不動産株式会社","03-5414-1706","(R5.1.10)"
"5","港区","アイエスコート西麻布","港区西麻布","株式会社アイエスコート","03-3479-5776","開設済"
"6","港区","青山メディケア","港区南青山","医療法人社団光輝会青山メディケアサービス付き高齢者向け住宅","03-3486-0900","開設済"
"7","港区","悠楽里レジデンス六本木","港区六本木","ライフサポート株式会社","03-5367-3001","開設済"
"8","港区","（仮称）ツクイ北青山","港区北青山","株式会社ツクイ","045-842-4115","(R2.7.1)"
"9","新宿区","ＨＤケア高田馬場","新宿区高田馬場","ＨＤケア高田馬場","03-5273-6996","開設済"
"10","新宿区","ココファン四谷","新宿区愛住町","株式会社学研ココファン","03-6431-1860","開設済"
"11","新宿区","マストクレリアン神楽坂","新宿区東五軒町","積和グランドマスト株式会社","03-5350-3900","開設済"
"12","渋谷区","ニチイホーム渋谷本町","渋谷区本町","株式会社ニチイケアパレス","03-3291-8965","開設済"
"13","台東区","グレイプス浅草","台東区浅草","東京建物シニアライフサポート株式会社","0120-082-005","開設済"
"14","台東区","やすらぎ入谷","台東区竜泉","株式会社globallifecare","03-6284-1607","開設済"
"15","台東区","グレイテストライフ浅草","台東区東浅草","株式会社グレイテストライフ","03-3874-8121","開設済"
"16","墨田区","東向島サービス付き高齢者向け住宅スマイル・メゾン曳舟","墨田区東向島","東向島サービス付き高齢者向け住宅スマイル・メゾン曳舟","03-6657-1102","開設済"
"17","墨田区","そんぽの家Ｓ東墨田ヒカリ","墨田区東墨田","株式会社ナミキ賃貸営業部","03-5383-9333","開設済"
"18","墨田区","リリィパワーズレジデンスすみだ向島","墨田区向島","株式会社パワーズアンリミテッド","03-5362-0880","開設済"
"19","墨田区","グランドマスト墨田文花","墨田区文花","積和グランドマスト株式会社","03-5350-3900","開設済"
"20","江東区","そんぽの家Ｓ木場公園","江東区平野","そんぽの家Ｓ木場公園","03-5621-2411","開設済"
