"","7年度","7年度(%)","8年度","8年度(%)","9年度","9年度(%)","10年度","10年度(%)","11年度","11年度(%)","p値"
"持続性せき／A群","12","2.1","10","1.8","13","2.5","9","1.7","5","0.9","0.330"
"持続性せき／B群","3","1.3","7","2.8","5","2.2","7","3.2","6","2.9",""
"持続性せき／C群","10","2.2","10","2.0","13","3.0","11","2.8","10","2.8",""
"持続性せき／D群","12","2.0","16","2.4","9","1.5","15","2.7","13","2.4",""
"持続性たん／A群","10","1.7","10","1.8","12","2.3","7","1.3","3","0.6","0.891"
"持続性たん／B群","4","1.7","2","0.8","5","2.2","2","0.9","3","1.5",""
"持続性たん／C群","6","1.3","8","1.6","9","2.1","8","2.0","6","1.7",""
"持続性たん／D群","13","2.1","6","0.9","7","1.2","12","2.1","11","2.1",""
"ぜい鳴／A群","35","6.0","34","6.0","37","7.1","34","6.5","42","7.8","0.476"
"ぜい鳴／B群","18","7.6","21","8.3","12","5.3","15","6.8","7","3.4",""
"ぜい鳴／C群","21","4.5","28","5.6","35","8.1","22","5.6","25","7.0",""
"ぜい鳴／D群","37","6.1","37","5.6","32","5.4","32","5.7","30","5.6",""
"ぜん息様症状(現在)／A群","54","9.3","50","8.9","56","10.8","43","8.2","44","8.1","0.121"
"ぜん息様症状(現在)／B群","23","9.7","15","6.0","22","9.7","21","9.5","16","7.8",""
"ぜん息様症状(現在)／C群","43","9.3","47","9.5","39","9.0","53","13.5","38","10.6",""
"ぜん息様症状(現在)／D群","64","10.5","56","8.5","37","6.2","46","8.2","45","8.4",""
"鼻炎様症状（一年中）／A群","36","6.2","36","6.4","27","5.2","32","6.1","33","6.1","0.067"
"鼻炎様症状（一年中）／B群","18","7.6","16","6.3","16","7.1","12","5.4","18","8.7",""
"鼻炎様症状（一年中）／C群","34","7.3","35","7.0","29","6.7","39","9.9","26","7.2",""
"鼻炎様症状（一年中）／D群","42","6.9","58","8.8","45","7.6","37","6.6","44","8.2",""
"鼻炎様症状（春）／A群","118","20.2","101","18.0","98","18.9","87","16.5","93","17.2","0.000"
"鼻炎様症状（春）／B群","51","21.6","44","17.5","46","20.4","49","22.2","54","26.2",""
"鼻炎様症状（春）／C群","72","15.6","64","12.9","63","14.6","49","12.5","54","15.0",""
"鼻炎様症状（春）／D群","85","14.0","77","11.7","81","13.7","78","13.9","85","15.9",""
