"","あり","なし"
"対象者数","60","3898"
"持続性せき","2","250"
"%","3.33","6.41"
"持続性たん","5","459"
"%","8.33","11.78"
"持続性せきたん","2","144"
"%","3.33","3.69"
"ぜんそく様症状現在","0","84"
"%","0","2.15"
"ぜんそく様症状寛解","2","90"
"%","3.33","2.31"
"ぜん鳴症状","4","124"
"%","6.67","3.18"
"慢性気管支炎","3","132"
"%","5","3.39"
"肺気腫","2","77"
"%","3.33","1.98"
"じんましん","4","383"
"%","6.67","9.83"
"アトピー性皮膚炎","1","147"
"%","1.67","3.77"
"アレルギー性鼻炎","10","721"
"%","16.67","18.5"
"アレルギー性結膜炎","3","107"
"%","5","2.74"
"花粉症","16","1172"
"%","26.67","30.07"
"食物アレルギー","1","99"
"%","1.67","2.54"
