"","区東部","区北部","区西部","区南部","多摩北部","多摩中部","多摩西部","多摩南部"
"対象者数","1412","1729","3174","2584","1666","2041","607","1879"
"症状１","1303","1621","3003","2410","1602","1981","589","1836"
"%","92.28","93.75","94.61","93.27","96.16","97.06","97.03","97.71"
"症状２","1357","1639","3021","2434","1627","1992","596","1856"
"%","96.1","94.79","95.18","94.2","97.66","97.6","98.19","98.78"
"症状３","1283","1522","2830","2287","1567","1945","580","1825"
"%","90.86","88.03","89.16","88.51","94.06","95.3","95.55","97.13"
"症状４","1270","1519","2858","2191","1579","1908","586","1793"
"%","89.94","87.85","90.04","84.79","94.78","93.48","96.54","95.42"
"症状５","1374","1672","3102","2473","1646","1988","596","1865"
"%","97.31","96.7","97.73","95.7","98.8","97.4","98.19","99.25"
"（軽症）間欠型","289","401","798","586","410","455","189","492"
"%","20.47","23.19","25.14","22.68","24.61","22.29","31.14","26.18"
"軽症持続型","549","621","1156","855","597","816","260","812"
"%","38.88","35.92","36.42","33.09","35.83","39.98","42.83","43.21"
"中等症持続型","449","539","969","915","534","598","113","491"
"%","31.8","31.17","30.53","35.41","32.05","29.3","18.62","26.13"
"重症持続型","121","164","243","224","123","159","42","84"
"%","8.57","9.49","7.66","8.67","7.38","7.79","6.92","4.47"
"アレ・ダニ・陽性","960","1062","2204","1693","1175","1402","429","1356"
"%","67.99","61.42","69.44","65.52","70.53","68.69","70.68","72.17"
"アレ・ダニ・擬陽性","19","49","59","56","33","44","13","28"
"%","1.35","2.83","1.86","2.17","1.98","2.16","2.14","1.49"
"アレ・ダニ・陰性","379","497","794","729","385","510","139","410"
"%","26.84","28.74","25.02","28.21","23.11","24.99","22.9","21.82"
"アレ・ハウスダスト・陽性","906","1055","2110","1607","1101","1310","392","1184"
"%","64.16","61.02","66.48","62.19","66.09","64.18","64.58","63.01"
"アレ・ハウスダスト・擬陽性","22","45","59","57","32","48","12","26"
"%","1.56","2.6","1.86","2.21","1.92","2.35","1.98","1.38"
"アレ・ハウスダスト・陰性","368","517","777","711","387","500","103","363"
"%","26.06","29.9","24.48","27.52","23.23","24.5","16.97","19.32"
