"診断の時期(月齢)","ぜん息（n=334）(人数)","ぜん息（n=334）(%)","食物アレルギー（n=579）(人数)","食物アレルギー（n=579）(%)","アトピー性皮膚炎（n=387）(人数)","アトピー性皮膚炎（n=387）(%)","アレルギー性鼻炎（n=306）(人数)","アレルギー性鼻炎（n=306）(%)","アレルギー性結膜炎（n=166）(人数)","アレルギー性結膜炎（n=166）(%)","じんましん（n=426）(人数)","じんましん（n=426）(%)","その他のアレルギー疾患（n=46）(人数)","その他のアレルギー疾患（n=46）(%)"
"総数","318","100.0","565","100.0","366","100.0","292","100.0","155","100.0","395","100.0","42","100.0"
"0ヶ月～","9","2.8","64","11.3","74","20.2","4","1.4","2","1.3","19","4.8","3","7.1"
"6ヶ月～","33","10.4","291","51.5","87","23.8","18","6.2","7","4.5","71","18.0","10","23.8"
"12ヶ月～","86","27.0","134","23.7","75","20.5","54","18.5","17","11.0","81","20.5","9","21.4"
"18ヶ月～","46","14.5","27","4.8","31","8.5","38","13.0","18","11.6","42","10.6","7","16.7"
"24ヶ月～","59","18.6","25","4.4","51","13.9","86","29.5","50","32.3","71","18.0","5","11.9"
"30ヶ月～","50","15.7","16","2.8","33","9.0","69","23.6","46","29.7","76","19.2","4","9.5"
"36ヶ月～","34","10.7","8","1.4","15","4.1","22","7.5","15","9.7","35","8.9","4","9.5"
"42ヶ月～","1","0.3","0","0.0","0","0.0","1","0.3","0","0.0","0","0.0","0","0.0"
"無回答","16","","14","","21","","14","","11","","31","","4","" 
