"区市町村通番","所管地域","名称","ヨミガナ","電話番号","ＦＡＸ番号","郵便番号","住所","緯度","経度","座標系","対応時間帯","特記事項","施設種別／地域包括支援センター","施設種別／ブランチ・サブセンター","施設種別／在宅介護支援センター","施設種別／その他相談窓口","相談内容／高齢者の異変","相談内容／消費者被害のおそれ"
"1","相原町","堺第1高齢者支援センター","ｻｶｲﾀﾞｲｲﾁｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-770-2558","042-770-2531","194-0211","町田市相原町2373-1 （老人保健施設サンシルバー町田内）","35.612473","139.312881","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"2","小山町、小山ヶ丘、上小山田町","堺第2高齢者支援センター","ｻｶｲﾀﾞｲﾆｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-797-0200","042-797-1880","194-0215","町田市小山ヶ丘1-2- （特別養護老人ホーム美郷内）","35.595638","139.386398","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"3","図師町、下小山田町、忠生、矢部町、小山田桜台、常盤町、根岸町、根岸","忠生第1高齢者支援センター","ﾀﾀﾞｵﾀﾞｲｲﾁｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-797-8032","042-797-8830","194-0202","町田市下小山田町3580 ふれあい桜館1階","35.587135","139.408478","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"4","山崎町、山崎、木曽町、木曽西、木曽東（都営木曽森野アパートを除く）、本町田の一部（公社住宅町田木曽）","忠生第2高齢者支援センター","ﾀﾀﾞｵﾀﾞｲﾆｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-792-1105","042-792-5543","195-0074","町田市山崎町2200 （福音会木曽山崎事業所内）","35.572918","139.431610","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"5","小野路町、野津田町、金井、金井町（藤の台団地を除く）、大蔵町、薬師台","鶴川第1高齢者支援センター","ﾂﾙｶﾜﾀﾞｲｲﾁｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-736-6927","042-736-6903","195-0073","町田市薬師台3-270-1 （特別養護老人ホーム第二清風園内）","35.583256","139.490280","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"6","能ヶ谷、三輪町、三輪緑山、広袴、広袴町真光寺、真光寺町、鶴川","鶴川第2高齢者支援センター","ﾂﾙｶﾜﾀﾞｲﾆｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-737-7292","042-737-7289","195-0053","町田市能ヶ谷3-2-1 鶴川地域コミュニティ1階","33.443153","129.967270","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"7","原町田（都営金森1丁目アパートを除く）、中町、森野、旭町、木曽東の一部（都営木曽森野アパート）","町田第1高齢者支援センター","ﾏﾁﾀﾞﾀﾞｲｲﾁｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-728-9215","042-728-6578","194-0022","町田市森野4-8-39 （特別養護老人ホームコモンズ内）","35.554134","139.433395","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"8","本町田（公社住宅町田木曽を除く）、金井町の一部（藤の台団地）、南大谷の一部（公社住宅本町田）","町田第2高齢者支援センター","ﾏﾁﾀﾞﾀﾞｲﾆｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-729-0747","042-709-0533","194-0032","町田市本町田2102-1 （本町田高齢者在宅サービスセンター内）","35.559875","139.437897","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"9","玉川学園、南大谷（公社住宅本町田を除く）、東玉川学園","町田第3高齢者支援センター","ﾏﾁﾀﾞﾀﾞｲｻﾝｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-710-3378","042-710-1292","194-0041","町田市玉川学園3-35-1 （玉川学園高齢者在宅サービスセンター内）","35.563370","139.458298","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
"10","南町田、鶴間、小川、つくし野、南つくし野","南第1高齢者支援センター","ﾐﾅﾐﾀﾞｲｲﾁｺｳﾚｲｼｬｼｴﾝｾﾝﾀｰ","042-796-2789","042-799-0079","194-0005","町田市南町田5-16-1 （特別養護老人ホーム芙蓉園内）","35.514652","139.471130","JGD2011","月曜日～土曜日（日祝休日・12月29日～1月3日を除く。）8時30分～17時（緊急時は上記時間以外でも対応します。）","","〇","","","","〇","〇"
