"","合算分／多数該当分","合算分／その他","単独分／多数該当分","単独分／長期疾病分","単独分／入院分","単独分／その他","他法併用分","合計","現物配給分(再掲)"
"総数／件数(件)","104857","499233","146199","226610","302893","201857","287307","1768956","1043159"
"総数／高額療養費(円)","2483477459","3979850555","12341305994","16519937656","44019668847","6483137954","9530075448","95357453913","82959326240"
"(再掲)前期高齢者分／件数(件)","71117","472208","60368","141805","188003","163079","237203","1333783",""
"(再掲)前期高齢者分／高額療養費(円)","1350756309","3028465094","5422786790","8970432194","27262066795","4500196821","4307543352","54842247355",""
"(再掲)70歳以上一般分／件数(件)","34430","422282","3014","72594","102511","134837","219436","989104",""
"(再掲)70歳以上一般分／高額療養費(円)","228859069","1923303358","39954804","3030610832","12519562469","3124644721","2579399108","23446334361",""
"(再掲)70歳以上現役並み／件数(件)","7601","26560","2746","5645","12312","8403","2760","66027",""
"(再掲)70歳以上現役並み／高額療養費(円)","185891540","305678876","316758065","452522861","2013794711","417866796","201055047","3893567896",""
"(再掲)未就学児分／件数(件)","137","701","209","107","4553","1441","1848","8996",""
"(再掲)未就学児分／高額療養費(円)","5533432","20704327","14854848","10250602","451819402","44111135","346746788","894020534",""
"長期高額疾病該当者数","","","","","","","","10736",""
