"点名","X座標","Y座標","備考"
"K.5","-37249.379","-19043.748","刻印"
"K.6","-37236.675","-19041.948","木杭"
"K.7","-37253.667","-19030.799","既設 区金属標"
"K.8","-37265.723","-19006.498","計算点"
"K.17","-37276.028","-18985.721","既設 区金属標"
"K.19","-37266.149","-19005.638","計算点"
"K.21","-37278.417","-18980.901","既設 区金属標"
"K.22","-37280.305","-18977.091","既設 区金属標"
"K.26","-37257.211","-18974.546","計算点"
"K.73","-37232.885","-19041.411","木杭"
"K.74","-37218.634","-19039.391","木杭"
"K.77","-37220.973","-19029.811","木杭"
"K.78","-37221.224","-19028.782","木杭"
"K.79","-37225.114","-19012.848","木杭"
"K.85","-37225.339","-19011.928","木杭"
"K.86","-37225.600","-19010.859","木杭"
"K.87","-37237.997","-18985.635","木杭"
"K.93","-37238.400","-18984.815","木杭"
"K.94","-37241.253","-18979.009","木杭"
"K.95","-37226.160","-18971.600","鋲"
"K.96","-37226.288","-18971.139","区金属標"
"K.97","-37255.307","-18974.337","計算点"
"K.190","-37223.673","-19018.750","新設"
"K.191","-37254.094","-19029.938","新設"
"K.192","-37233.539","-18994.706","新設"
"K.193","-37254.214","-19009.470","木杭"
"K.194","-37256.105","-19005.387","新設"
"K.195","-37257.997","-19001.304","木杭"
"K.196","-37266.476","-19004.980","計算点"
"K.197","-37262.476","-19013.043","計算点"
"K.201","-37232.960","-19041.422","木杭"
