"No.","区市町村","拠点名称","電話"
"1","千代田区","千代田区障害者就労支援センター","03-3264-2153"
"2","中央区","中央区障害者就労支援センター","03-3865-3889"
"3","港区","みなと障がい者福祉事業団","03-5439-8062"
"4","新宿区","新宿区勤労者・仕事支援センター就労支援部就労支援課障害者等就労支援担当","03-3200-3316"
"5","文京区","文京区障害者就労支援センター","03-5803-1814"
"6","台東区","台東区障害者就労支援室","03-3847-6431"
"7","墨田区","すみだ障害者就労支援総合センター","03-5600-2004"
"8","江東区","江東区障害者就労・生活支援センター","03-3699-0325"
"9","品川区","障害者就労支援センターげんき品川","03-5496-2525"
"10","目黒区","目黒障害者就労支援センター","03-5794-8180"
"11","大田区","大田区立障害者就労支援センター","03-5728-9135/03-5728-9436"
"12","世田谷区","世田谷区障害者就労支援センター「すきっぷ就労相談室」","03-3302-7927"
"12","世田谷区","世田谷区障害者就労支援センター「すきっぷ就労相談室」分室「クローバー」","03-5787-4355"
"12","世田谷区","世田谷区障害者就労支援センター「すきっぷ就労相談室」分室「そしがや」","03-5494-5581"
"12","世田谷区","世田谷区障害者就労支援センター「しごとねっと」","03-3418-1432"
"12","世田谷区","世田谷区障害者就労支援センター「ゆに（ＵＮＩ）」","03-5797-2343"
"13","渋谷区","渋谷区障害者就労支援センターハートバレーしぶや","03-3462-2513"
"14","中野区","中野区障害者福祉事業団","03-3388-2941"
"15","杉並区","杉並区障害者就労支援センター","03-5346-3250"
"16","豊島区","豊島区保健福祉部障害福祉課就労支援グループ","03-3985-8330"
"17","北区","就労支援センター北ドリームヴイ","03-3906-7753"
"17","北区","就労センター北わくわくかん","03-3598-3337"
"18","荒川区","荒川区障害者就労支援センターじょぶ・あらかわ","03-3803-4510"
"19","板橋区","板橋区障がい者就労支援センターハートワーク","03-3968-9900"
"20","練馬区","公益財団法人練馬区障害者就労促進協会","03-3557-8182"
"21","足立区","足立区障がい福祉センター雇用支援室","03-5681-0133"
"22","葛飾区","葛飾区障害者就労支援センター","03-3695-2224"
"23","江戸川区","江戸川区立障害者就労支援センター","03-5622-6050"
"24","八王子市","八王子市障害者就労・生活支援センターふらん","042-642-0080"
"25","立川市","自立生活センター・立川就労支援部門","042-525-0879"
"26","武蔵野市","武蔵野市障害者就労支援センターあいる","0422-50-0255"
"27","三鷹市","三鷹市障がい者就労支援センターかけはし","0422-27-8864"
"28","青梅市","青梅市障害者就労支援センター","0428-25-8510"
"29","府中市","府中市立心身障害者福祉センター地域生活・就労支援事業み～な","042-360-1312"
"30","昭島市","昭島市障害者就労支援センタークジラ","042-569-6433"
"31","調布市","調布市障害者地域生活・就労支援センターちょうふだぞう","042-487-4552"
"31","調布市","調布市こころの健康支援センター就労支援室ライズ","042-426-9161"
"32","町田市","町田市障がい者就労・生活支援センターりんく","042-728-3161"
"32","町田市","町田市障がい者就労・生活支援センターLet's（レッツ）","042-728-3162"
"33","小金井市","小金井市障害者就労支援センターエンジョイワーク・こころ","042-387-9866"
"34","小平市","小平市障害者就労・生活支援センターほっと","042-316-9078"
"35","日野市","日野市障害者生活・就労支援センターくらしごと","042-843-1806"
"36","東村山市","東村山市障害者就労支援室","042-313-3794"
"37","国分寺市","国分寺市障害者就労支援センター","042-300-1500"
"38","国立市","国立市役所健康福祉部しょうがいしゃ支援課相談係就労支援担当","042-576-2111(内線148)"
"39","福生市","福生市障害者自立生活支援センター「すてっぷ」","042-539-3217"
"40","狛江市","狛江市障がい者就労支援センター「サポート」","03-5438-3533"
"41","東大和市","東大和市福祉部障害福祉課","042-563-2111"
"42","清瀬市","清瀬市障害者就労支援センターワークル・きよせ","042-495-0010"
"43","東久留米市","東久留米市障害者就労支援室「さいわい」","042-477-3100"
"43","東久留米市","東久留米市障害者就労支援室「あおぞら」","042-476-2625"
"44","武蔵村山市","武蔵村山市障害者就労支援センターとらい","042-560-7839"
"45","多摩市","多摩市障がい者就労支援センター","042-311-2324"
"46","稲城市","稲城市障害者総合相談センターマルシェいなぎ","042-379-9234"
"47","羽村市","羽村市障害者就労支援センターエール","042-570-1233"
"48","あきる野市","あきる野市障がい者就労・生活支援センターあすく","042-532-1793"
"49","西東京市","西東京市障害者就労支援センター一歩","042-452-0095"
"50","瑞穂町","瑞穂町障害者就労支援センター","042-568-0139"
"51","日の出町","日の出町障害者就労・生活支援センターあるって","042-519-9761"
"52","奥多摩町","奥多摩町福祉保健課福祉係","0428-83-2777"
"53","新島村","新島村民生課福祉介護係","04992-5-1856"
