"","","DPFなし／対照／10","DPFなし／低濃度／10","DPFなし／高濃度／10","DPFあり／対照／10","DPFあり／低濃度／10","DPFあり／高濃度／10"
"鼻腔～細気管支／粘膜細胞浸潤（好中球/好酸球）／鼻腔1～3","-","10","10","10","10","10","10"
"鼻腔～細気管支／粘膜細胞浸潤（好中球/好酸球）／気管1～3（気管支）","","10","10","10","10","10","10"
"鼻腔～細気管支／粘膜細胞浸潤（好中球/好酸球）／細気管支1～2","-","10","10","10","10","10","10"
"鼻腔～細気管支／杯細胞の増加／鼻腔2(呼吸上皮)","-","10","10","10","10","10","10"
"鼻腔～細気管支／杯細胞の増加／気管1～3（気管支）","-","10","10","10","10","10","10"
"鼻腔～細気管支／杯細胞の増加／細気管支1～2","-","10","10","10","10","10","10"
"肺胞壁の肥厚(炎症病変)／肺胞管～肺胞領域","-","3","0","0","7","0","0"
"肺胞壁の肥厚(炎症病変)／肺胞管～肺胞領域","±","5","5","3","1","0","0"
"肺胞壁の肥厚(炎症病変)／肺胞管～肺胞領域","+","2","5","7","2","0","10"
"肺胞壁の肥厚(炎症病変)／肺胞管～肺胞領域","++","0","0","0","0","10","0"
"肺胞壁の肥厚(炎症病変)／被膜（胸膜）下（散発性）","-","8","7","7","8","4","5"
"肺胞壁の肥厚(炎症病変)／被膜（胸膜）下（散発性）","+","2","2","3","2","4","5"
"肺胞壁の肥厚(炎症病変)／被膜（胸膜）下（散発性）","++","0","1","0","0","2","0"
"肺胞内大食細胞の存在／散在性","-","0","0","0","0","0","0"
"肺胞内大食細胞の存在／散在性","+","10","10","0","10","10","0"
"肺胞内大食細胞の存在／散在性","++","0","0","10","0","0","10"
"肺胞内大食細胞の存在／集簇性","-","0","0","0","0","0","0"
"肺胞内大食細胞の存在／集簇性","±","10","10","0","10","0","0"
"肺胞内大食細胞の存在／集簇性","+","0","0","10","0","0","10"
"肺胞内大食細胞の存在／集簇性","++","0","0","0","0","10","0"
"肺内の黒色粒子の沈着／気管周囲結合組織/リンパ組織","-","10","0","0","10","0","0"
"肺内の黒色粒子の沈着／気管周囲結合組織/リンパ組織","+","0","10","0","0","10","0"
"肺内の黒色粒子の沈着／気管周囲結合組織/リンパ組織","++","0","0","10","0","0","10"
