"上段：度数／下段：%","n=","保育士で就業中","保育士以外の職種で就業中（保育士就業経験有り）","保育士以外の職種で就業中（保育士就業経験無し）","未就業（保育士就業経験有り）","未就業（保育士以外で就業経験有り）","未就業（過去も就業経験無し）","無回答"
"ＴＯＴＡＬ","15369","8214","1297","2852","1574","923","194","315"
"ＴＯＴＡＬ","100","53.4","8.4","18.6","10.2","6.0","1.3","2.0"
"性別・年代／女性計","14059","7526","1156","2561","1485","888","169","274"
"性別・年代／女性計","100","53.5","8.2","18.2","10.6","6.3","1.2","1.9"
"性別・年代／女性２０代","5708","3297","248","1357","386","187","134","99"
"性別・年代／女性２０代","100","57.8","4.3","23.8","6.8","3.3","2.3","1.7"
"性別・年代／女性３０代","3634","1612","305","553","656","415","19","74"
"性別・年代／女性３０代","100","44.4","8.4","15.2","18.1","11.4","0.5","2.0"
"性別・年代／女性４０代","2861","1560","345","454","245","197","11","49"
"性別・年代／女性４０代","100","54.5","12.1","15.9","8.6","6.9","0.4","1.7"
"性別・年代／女性５０代以上","1751","1005","247","185","178","82","5","49"
"性別・年代／女性５０代以上","100","57.4","14.1","10.6","10.2","4.7","0.3","2.8"
"性別・年代／男性計","701","380","67","199","19","7","18","11"
"性別・年代／男性計","100","54.2","9.6","28.4","2.7","1.0","2.6","1.6"
"性別・年代／男性２０代","473","281","37","118","14","2","15","6"
"性別・年代／男性２０代","100","59.4","7.8","24.9","3.0","0.4","3.2","1.3"
"性別・年代／男性３０代以上","226","99","30","80","5","5","3","4"
"性別・年代／男性３０代以上","100","43.8","13.3","35.4","2.2","2.2","1.3","1.8"
"性別・年代／無回答","609","308","74","92","70","28","7","30"
"性別・年代／無回答","100","50.6","12.2","15.1","11.5","4.6","1.1","4.9"
