"上段：度数／下段：%","n=","子供と接することが好きだったから","保育士に興味があったから","身近な資格だったから","あこがれの職業だったから","中学・高校で勧められたから","親や家族に勧められたから","就職に困らないと思ったから","将来の自分の子育てに役に立つと思ったから","たまたま入学できた学部だったから","その他","無回答"
"ＴＯＴＡＬ","15369","8089","2769","555","2301","92","333","802","624","118","1058","71"
"ＴＯＴＡＬ","100","52.6","18.0","3.6","15.0","0.6","2.2","5.2","4.1","0.8","6.9","0.5"
"性別・年代／女性計","14059","7354","2528","503","2166","81","300","747","570","105","952","57"
"性別・年代／女性計","100","52.3","18.0","3.6","15.4","0.6","2.1","5.3","4.1","0.7","6.8","0.4"
"性別・年代／女性２０代","5708","3132","897","100","1193","27","119","242","181","28","181","26"
"性別・年代／女性２０代","100","54.9","15.7","1.8","20.9","0.5","2.1","4.2","3.2","0.5","3.2","0.5"
"性別・年代／女性３０代","3634","1836","744","153","488","18","67","245","199","30","290","9"
"性別・年代／女性３０代","100","50.5","20.5","4.2","13.4","0.5","1.8","6.7","5.5","0.8","8.0","0.2"
"性別・年代／女性４０代","2861","1456","566","125","316","23","51","195","126","32","255","14"
"性別・年代／女性４０代","100","50.9","19.8","4.4","11.0","0.8","1.8","6.8","4.4","1.1","8.9","0.5"
"性別・年代／女性５０代以上","1751","869","304","120","156","12","62","58","61","15","219","7"
"性別・年代／女性５０代以上","100","49.6","17.4","6.9","8.9","0.7","3.5","3.3","3.5","0.9","12.5","0.4"
"性別・年代／男性計","701","408","135","24","66","5","15","22","21","5","59","4"
"性別・年代／男性計","100","58.2","19.3","3.4","9.4","0.7","2.1","3.1","3.0","0.7","8.4","0.6"
"性別・年代／男性２０代","473","293","83","11","57","5","11","10","12","4","22","2"
"性別・年代／男性２０代","100","61.9","17.5","2.3","12.1","1.1","2.3","2.1","2.5","0.8","4.7","0.4"
"性別・年代／男性３０代以上","226","114","51","13","9","0","4","12","9","1","37","2"
"性別・年代／男性３０代以上","100","50.4","22.6","5.8","4.0","0.0","1.8","5.3","4.0","0.4","16.4","0.9"
"性別・年代／無回答","609","327","106","28","69","6","18","33","33","8","47","10"
"性別・年代／無回答","100","53.7","17.4","4.6","11.3","1.0","3.0","5.4","5.4","1.3","7.7","1.6"
