"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","1033","336","378","527","649","802","1003","1265","1509","1588","1808"
"1～2歳","4","725","429","152","223","312","579","812","958","1067","1104","1133"
"3～5歳","5","687","63","631","634","638","650","664","702","754","772","786"
"6～7歳","6","922","352","554","579","609","705","851","1025","1304","1422","1516"
"8～9歳","3","967","219","729","754","784","876","1030","1089","1124","1136","1146"
"10～11歳","5","1049","216","778","812","855","984","1014","1114","1263","1313","1353"
"12～14歳","8","1112","367","496","623","782","918","1103","1315","1554","1587","1613"
"15～17歳","6","1231","357","769","798","835","962","1255","1526","1602","1617","1630"
"18～29歳","20","1104","347","659","701","741","847","989","1408","1481","1514","1892"
"30～49歳","42","920","307","385","402","476","742","907","1073","1379","1453","1523"
"50～69歳","60","1115","326","607","686","774","891","1049","1278","1583","1662","1987"
"70歳以上","46","1043","342","247","540","647","783","1056","1282","1424","1556","1704"
"女性総数","228","956","355","350","456","550","732","916","1140","1317","1519","2116"
"1～2歳","3","844","168","717","722","729","749","782","908","984","1009","1029"
"3～5歳","2","754","132","663","670","679","707","754","801","828","838","845"
"6～7歳","6","771","152","657","660","664","675","710","801","939","997","1043"
"8～9歳","4","888","256","550","587","633","770","963","1080","1082","1083","1083"
"10～11歳","1","1133","0","1133","1133","1133","1133","1133","1133","1133","1133","1133"
"12～14歳","8","1001","182","726","764","812","877","1000","1146","1216","1218","1220"
"15～17歳","7","979","209","622","692","780","907","970","1111","1197","1221","1239"
"18～29歳","17","967","480","467","517","533","800","864","1029","1306","1755","2370"
"30～49歳","60","904","284","356","457","538","750","895","1098","1250","1352","1541"
"50～69歳","71","1055","389","392","496","571","813","1061","1238","1473","1606","2220"
"70歳以上","49","902","388","170","440","482","640","842","1162","1286","1610","1969"
"(再掲)妊婦","1","1220","0","1220","1220","1220","1220","1220","1220","1220","1220","1220"
"授乳婦","1","975","0","975","975","975","975","975","975","975","975","975"
