"基金名称","介護職員処遇改善等臨時特例基金＜(1)総括表＞"
"基金設置法人名","東京都"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）(百万円)","41551"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（国からの交付決定額）(百万円)","41516"
"A／基金造成のための国からの交付決定額（平成21年度補正予算）（運用収入を含む。）／（運用収入額）(百万円)","35"
"B／平成22年度下半期終了時におけるAの金額の残高（A-C）(百万円)","25094"
"C／執行（支出）済み額(百万円)","16457"
"E／翌半期以降の執行見込みについて／(2)介護職員処遇改善交付金（基本事業）(百万円)","19833"
"E／翌半期以降の執行見込みについて／(3)介護職員処遇改善交付金（その他事業）(百万円)","252"
"E／翌半期以降の執行見込みについて／(4)施設開設準備経費助成特別対策事業（基本事業）(百万円)","42"
"E／翌半期以降の執行見込みについて／(5)定期借地権利用による整備促進特別対策事業（基本事業）(百万円)","321"
"E／（執行見込額）(百万円)","20448"
"執行済み額（C)の平成22年度上半期合計(百万円)","5691"
"執行済み額（C)の平成22年度下半期合計(百万円)","6987"
