"上段：度数／下段：%","n=","３時間未満","３～５時間未満","５～７時間未満","７～９時間未満","９時間以上","無回答","平均値"
"ＴＯＴＡＬ","3969","3","43","130","550","36","3207","7.3"
"ＴＯＴＡＬ","100","0.1","1.1","3.3","13.9","0.9","80.8",""
"性別・年代／女性計","3618","2","41","126","500","34","2915","7.3"
"性別・年代／女性計","100","0.1","1.1","3.5","13.8","0.9","80.6",""
"性別・年代／女性２０代","1678","1","6","28","329","30","1284","7.8"
"性別・年代／女性２０代","100","0.1","0.4","1.7","19.6","1.8","76.5",""
"性別・年代／女性３０代","987","0","17","48","104","2","816","6.8"
"性別・年代／女性３０代","100","0.0","1.7","4.9","10.5","0.2","82.7",""
"性別・年代／女性４０代","662","1","15","40","56","1","549","6.5"
"性別・年代／女性４０代","100","0.2","2.3","6.0","8.5","0.2","82.9",""
"性別・年代／女性５０代以上","272","0","3","10","7","1","251","6.4"
"性別・年代／女性５０代以上","100","0.0","1.1","3.7","2.6","0.4","92.3",""
"性別・年代／男性計","224","0","1","1","32","2","188","7.7"
"性別・年代／男性計","100","0.0","0.4","0.4","14.3","0.9","83.9",""
"性別・年代／男性２０代","135","0","0","0","20","2","113","8.1"
"性別・年代／男性２０代","100","0.0","0.0","0.0","14.8","1.5","83.7",""
"性別・年代／男性３０代以上","88","0","1","1","12","0","74","7.2"
"性別・年代／男性３０代以上","100","0.0","1.1","1.1","13.6","0.0","84.1",""
"性別・年代／無回答","127","1","1","3","18","0","104","7.1"
"性別・年代／無回答","100","0.8","0.8","2.4","14.2","0.0","81.9",""
