"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","西早稲田あした作業所","社会福祉法人新宿あした会","新宿区","03-5155-3340","小山","http://www.ashitakai.or.jp","nishiwaseda-s@ashitakai.or.jp","コーヒー豆焙煎ドリップバック5個詰","食品","1","50","7日","400円","自力での納品可","無","無","有","ご自宅用・社内ドリンク用・贈答用・喫茶店委託販売"
"2","西早稲田あした作業所","社会福祉法人新宿あした会","新宿区","03-5155-3340","小山","http://www.ashitakai.or.jp","nishiwaseda-s@ashitakai.or.jp","コーヒー豆焙煎焙煎豆100ｇ","食品","1","40","7日","500円","自力での納品可","無","無","有","ご自宅用・社内ドリンク用・贈答用・喫茶店委託販売"
"3","西早稲田あした作業所","社会福祉法人新宿あした会","新宿区","03-5155-3340","小山","http://www.ashitakai.or.jp","nishiwaseda-s@ashitakai.or.jp","コーヒー豆焙煎焙煎豆200ｇ","食品","1","20","7日","900円","自力での納品可","無","無","有","ご自宅用・社内ドリンク用・贈答用・喫茶店委託販売"
"4","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","パン販売","食品","50","200","1日","種類のより異なる","発注元による回収希望","無","有","有","早い時間や土日祝祭日の場合は前日焼きになる場合があります"
"5","新宿区立高田馬場福祉作業所","社会福祉法人東京都手をつなぐ育成会","新宿区","03-3367-2939","山田達也安藤幹朗","http://www.ikuseikai-tky.or.jp/~iku-takadanobaba/","takadanobaba@ikuseikai-tky.or.jp","柚子胡椒","食品","10","100","3週間","400円","自力での納品可","無","無","有","時期により対応が難しい場合があるので要相談"
"6","新宿区立新宿福祉作業所","社会福祉法人日本キリスト教奉仕団","新宿区","03-3232-3715","三浦正樹","https://www.s-fukusaku.com/","m_miura@s-fukusaku.com","パン・焼き菓子","食品","３０個","２５０個","１週間","１５０円～","自力での納品可","無","有","有","焼立てパンと焼き菓子（ラスク・マフィン）を製造致します。"
"7","ワークプレイスぶんぶん","武蔵野会","文京区","03-5940-2822","近藤","https://team-lien.com/","kondo@team-lien.com","パン","食品","50","150","７日","１００～３００円","自力での納品可","無","無","有","喫茶にて毎日パンを焼成しています。販売から、ご注文いただいてからの納品など毎日対応可能です。"
"8","かれん","特定非営利活動法人えん","台東区","03-5828-1970","金子・佐竹","","b_karen@jcom.home.ne.jp","お弁当","食品","10食","６0食","14日","550円/食","発注元による回収希望","有","有","有","研修会やイベントの昼食としてご利用頂いています。単価やメニュー内容のご希望があれば、是非、ご相談ください。台東区内は自力納品可です。"
"9","たいとう第四福祉作業所","特定非営利活動法人つなぐ台東","台東区","03-3872-8548","風間","http://taitou-tunagu.or.jp/top/","taitou-4@crest.ocn.ne.jp","パン","食品","","","","種類別単価","","無","無","無",""
"10","隅田作業所","特定非営利活動法人とらいあんぐる","墨田区","03-3616-3465","長濱","http://www.triangle.or.jp/","sumidasagyousyo@nifty.com","あげもち","食品","50","1000","7日","250円","発注元による回収希望","無","有","無","販売をH30年7月より開始しました。行事イベントやおやつ等で活用できます"
"11","オアシス・プラス","社会福祉法人おあしす福祉会","江東区","03-5646-7811","友田奈津美","http://www.oasisfukushi.or.jp/","plus@oasisfukushi.or.jp","弁当","食品","１０個","３００個","１～7日","1個500円（税別）～応相談","自力での納品可","無","有","有","江東区内及び近隣エリアの区役所、保健相談所等関係機関や、民間企業へ毎日日替弁当を届けています。イベント時の要員用弁当など、単発も可。"
