設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
区市町村,中央区立福祉センターふれあい作業所,104-0053,中央区晴海１-４-１,139.78584,35.65868,JGD2011,03-3532-1577,50
社福法人,自恵会向島生活舘,131-0034,墨田区堤通１-１４-７,139.81079,35.72526,JGD2011,03-3611-5790,30
区市町村,渋谷区立幡ケ谷授産場,151-0072,渋谷区幡ヶ谷３-５３-３,139.6738,35.6812,JGD2011,03-3378-3637,30
区市町村,北区立王子授産場,114-0002,北区王子２-１９-２０,139.73642,35.75888,JGD2011,03-3912-9171,50
社福法人,北区社会事業協会授産所,115-0043,北区神谷２-３８-５,139.72612,35.7722,JGD2011,03-3901-2637,25
区市町村,北区立桐ケ丘授産場,115-0054,北区桐ケ丘２-７-２２,139.70773,35.77977,JGD2011,03-3900-0275,33
区市町村,荒川区立荒川授産場,116-0012,荒川区東尾久４-３２-７,139.76688,35.74459,JGD2011,03-3800-2741,29
区市町村,足立区青井授産場,121-0012,足立区青井４-２７-１１,139.81989,35.77508,JGD2011,03-3889-0681,0
社福法人,桜ケ丘共働学舎,195-0064,町田市小野路町２１５７,139.43965,35.60214,JGD2011,042-734-7676,20
区市町村,東村山市福祉作業所,189-0021,東村山市諏訪町１-３-１０,139.46674,35.76547,JGD2011,042-393-9449,20
