"配慮事項(n=574)","実施している(%)","以前実施していた(%)","実施していない(%)","無回答(%)"
"労働条件の調整や健康管理に対する配慮","58.4","7.7","30.7","3.3"
"障害者雇用促進に関する経営者の理解促進","45.3","8.4","42.3","4.0"
"通勤や勤務中の移動に関する配慮","41.1","5.6","49.0","4.4"
"障害者雇用促進に関する従業員の理解促進","38.9","9.4","47.7","4.0"
"上司や同僚による作業遂行のための実地指導（OJT）","38.2","9.1","48.8","3.7"
"障害状況に応じた作業内容や方法の開発・改善","27.9","7.5","60.5","1.2"
"バリアフリーなど職場の物理的な環境改善","27.0","6.1","62.9","3.7"
"障害者従業員のスキルアップのための研修・講習会への参加（offJT）","13.2","4.0","78.4","4.4"
"ジョブコーチ支援等、外部機関の人的な支援制度の活用","8.7","3.3","84.0","4.0"
"障害を補うための機器の改良や導入","7.7","3.3","84.1","4.9"
