"","喫煙","以前喫煙","非喫煙・受動","以前喫煙","非喫煙・受動","非喫煙","喫煙","以前喫煙","非喫煙・受動","非喫煙","喫煙","非喫煙"
"1症状1／検定結果","","","","","","","","","","","",""
"2症状2／検定結果","","","","","","","","","*","**","","*"
"3症状3／検定結果","","","","","","","","","*","**","","**"
"4症状4／検定結果","","","","","*","","","","","**","",""
"5症状5／検定結果","","","","","","","","","","","",""
"6（軽症）間欠型／検定結果","**","","**","","**","","","","**","**","",""
"7軽症持続型／検定結果","","","","","**","","","","","**","",""
"8中等症持続型／検定結果","","**","","**","","**","","**","","","",""
"9重症持続型／検定結果","","**","","","","**","**","**","","","**",""
"10アレルギー・ダニ・陽性／検定結果","**","","**","","**","","","","**","**","",""
"11アレルギー・ダニ・擬陽性／検定結果","","*","","","","","*","**","","","*",""
"12アレルギー・ダニ・陰性／検定結果","","**","","**","","**","**","**","","","",""
"13アレルギー・ハウスダスト・陽性／検定結果","**","","**","","**","","","","**","**","",""
"14アレルギー・ハウスダスト・疑陽性／検定結果","","*","","","","","","**","","","",""
"15アレルギー・ハウスダスト・陰性／検定結果","","**","","**","","**","**","**","","","",""
