"","青梅市","青梅市(%)","東大和市","東大和市(%)","中野区","中野区(%)","豊島区","豊島区(%)","品川区","品川区(%)","足立区","足立区(%)","p値"
"持続性せき／9年度","22","1.9","16","1.8","12","2.4","17","1.6","17","2.0","25","2.3",""
"持続性せき／10年度","19","1.7","12","1.3","12","2.5","24","2.4","24","3.0","31","2.9",""
"持続性せき／11年度","21","2.0","12","1.3","13","2.9","18","2.0","11","1.6","29","2.8","0.028"
"持続性たん／9年度","15","1.3","9","1.0","12","2.4","16","1.5","13","1.5","18","1.6",""
"持続性たん／10年度","13","1.2","13","1.5","9","1.9","16","1.6","16","2.0","20","1.9",""
"持続性たん／11年度","12","1.2","9","1.0","5","1.1","15","1.7","13","1.9","25","2.4","0.060"
"ぜい鳴／9年度","80","6.8","60","6.7","38","7.6","57","5.5","50","5.8","68","6.2",""
"ぜい鳴／10年度","67","6.0","43","4.8","36","7.6","70","7.1","37","4.7","62","5.8",""
"ぜい鳴／11年度","60","5.8","47","5.1","39","8.7","56","6.3","27","3.9","50","4.8","0.003"
"ぜん息様症状(現在)／9年度","88","7.5","58","6.5","47","9.4","75","7.2","65","7.6","70","6.4",""
"ぜん息様症状(現在)／10年度","74","6.7","66","7.4","42","8.9","78","8.0","71","8.9","73","6.9",""
"ぜん息様症状(現在)／11年度","75","7.3","68","7.4","43","9.6","70","7.8","60","8.6","87","8.3","0.058"
"鼻炎様症状（一年中）／9年度","48","4.1","41","4.6","30","6.0","71","6.8","47","5.5","53","4.8",""
"鼻炎様症状（一年中）／10年度","62","5.6","38","4.3","34","7.2","58","5.9","41","5.2","60","5.6",""
"鼻炎様症状（一年中）／11年度","56","5.4","30","3.3","26","5.8","56","6.3","45","6.5","64","6.1","0.002"
"鼻炎様症状（春）／9年度","197","16.9","102","11.4","60","12.0","134","12.9","88","10.3","133","12.2",""
"鼻炎様症状（春）／10年度","163","14.7","104","11.6","56","11.9","124","12.7","81","10.2","115","10.8",""
"鼻炎様症状（春）／11年度","172","16.7","122","13.3","55","12.3","117","13.1","74","10.6","127","12.1","0.000"
