"","現実(％)","理想(％)"
"夫(3569人)／自分10配偶者0","0.4","0.2"
"夫(3569人)／自分９配偶者1","2.1","0.8"
"夫(3569人)／自分８配偶者2","2.7","2.3"
"夫(3569人)／自分７配偶者3","1.6","2.7"
"夫(3569人)／自分６配偶者4","1.2","2.4"
"夫(3569人)／自分５配偶者5","3.3","22.5"
"夫(3569人)／自分４配偶者6","4.0","20.1"
"夫(3569人)／自分３配偶者7","13.5","26.9"
"夫(3569人)／自分２配偶者8","30.2","14.2"
"夫(3569人)／自分１配偶者9","34.0","4.2"
"夫(3569人)／自分０配偶者10","5.2","1.7"
"夫(3569人)／無回答","1.7","2.0"
"妻(3833人)／自分10配偶者0","7.4","0.3"
"妻(3833人)／自分９配偶者1","36.0","2.3"
"妻(3833人)／自分８配偶者2","30.7","12.8"
"妻(3833人)／自分７配偶者3","14.0","33.8"
"妻(3833人)／自分６配偶者4","5.3","27.9"
"妻(3833人)／自分５配偶者5","2.9","18.8"
"妻(3833人)／自分４配偶者6","0.6","1.1"
"妻(3833人)／自分３配偶者7","0.5","0.7"
"妻(3833人)／自分２配偶者8","0.7","0.4"
"妻(3833人)／自分１配偶者9","0.5","0.2"
"妻(3833人)／自分０配偶者10","",""
"妻(3833人)／無回答","1.5","1.8"
