"オッズ比","検出力(%)","症例のサンプルサイズ","対照群のサンプルサイズ","合計"
"1.2","90","12619","12619","25238"
"1.2","80","9183","9183","18366"
"1.2","70","7015","7015","14030"
"1.2","60","5459","5459","10918"
"1.3","90","5936","5936","11872"
"1.3","80","4334","4334","8668"
"1.3","70","3340","3340","6680"
"1.3","60","2597","2597","5194"
"1.4","90","3524","3524","7048"
"1.4","80","2580","2580","5160"
"1.4","70","1995","1995","3990"
"1.4","60","1557","1557","3114"
"1.5","90","2374","2374","4748"
"1.5","80","1743","1743","3486"
"1.5","70","1351","1351","2702"
"1.5","60","1059","1059","2118"
"1.6","90","1731","1731","3462"
"1.6","80","1274","1274","2548"
"1.6","70","990","990","1980"
"1.6","60","778","778","1556"
"1.7","90","1333","1333","2666"
"1.7","80","983","983","1966"
"1.7","70","766","766","1532"
"1.7","60","604","604","1208"
"1.8","90","1067","1067","2134"
"1.8","80","789","789","1578"
"1.8","70","616","616","1232"
"1.8","60","486","486","972"
"1.9","90","880","880","1760"
"1.9","80","652","652","1304"
"1.9","70","610","610","1220"
"1.9","60","404","404","808"
"2.0","90","743","743","1486"
"2.0","80","551","551","1102"
"2.0","70","432","432","864"
"2.0","60","343","343","686"
