"","具体的な援助を開始するまでの期間","基幹型在宅介護支援センター","地域型在宅介護支援センター","保健所・保健センター","福祉事務所","居宅介護支援事業所","介護保険事業者","医療機関"
"1","半日（１２時間）未満(回答数)","23","16","0","11","5","0","1"
"1","半日（１２時間）未満(%)","14.8","15.2","","13.3","8.2","","11.1"
"2","半日～１日（２４時間）未満(回答数)","18","9","3","7","4","0","1"
"2","半日～１日（２４時間）未満(%)","11.6","8.6","8.3","8.4","6.6","","11.1"
"3","１日～２日（４８時間）未満(回答数)","15","4","1","6","6","1","0"
"3","１日～２日（４８時間）未満(%)","9.7","3.8","2.8","7.2","9.8","20.0",""
"4","２日～３日未満(回答数)","4","10","4","4","3","1","1"
"4","２日～３日未満(%)","2.6","9.5","11.1","4.8","4.9","20.0","11.1"
"5","３日～１週間未満(回答数)","24","18","9","4","12","0","1"
"5","３日～１週間未満(%)","15.5","17.1","25.0","4.8","19.7","","11.1"
"6","１週間～２週間未満(回答数)","27","10","4","14","8","0","1"
"6","１週間～２週間未満(%)","17.4","9.5","11.1","16.9","13.1","","11.1"
"7","２週間～１ヶ月未満(回答数)","17","17","6","12","9","1","0"
"7","２週間～１ヶ月未満(%)","11.0","16.2","16.7","14.5","14.8","20.0",""
"8","１ヶ月以後(回答数)","21","18","6","21","8","1","1"
"8","１ヶ月以後(%)","13.5","17.1","16.7","25.3","13.1","20.0","11.1"
"9","不明(回答数)","4","3","3","4","5","1","2"
"9","不明(%)","2.6","2.9","8.3","4.8","8.2","20.0","22.2"
"0","無回答(回答数)","2","0","0","0","1","0","1"
"0","無回答(%)","1.3","","","","1.6","","11.1"
"","合計(回答数)","155","105","36","83","61","5","9"
"","合計(%)","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
