"施設情報／No.","施設情報／事業所名","施設情報／法人名","施設情報／区市町村","施設情報／電話","施設情報／担当者名","施設情報／ホームページ","施設情報／Email","販売・受注可能な作業／製品・サービスの内容／内容","販売・受注可能な作業／分類","販売・受注可能な作業／提供可能総量／最小","販売・受注可能な作業／提供可能総量／最大","販売・受注可能な作業／納期","販売・受注可能な作業／販売・契約参考単価","販売・受注可能な作業／納品方法","受注実績／東京都","受注実績／官公庁(東京都以外)","受注実績／その他(民間企業等)","受注実績／（活用例等）"
"1","HOPE神田","一般社団法人ホープＩＴ訓練センター","千代田区","03-5256-1411","山本","http://www.hope-it.or.jp/","info@hope-it.or.jp","輪ゴムの袋詰め","箱・袋詰め","100個","300個","ご相談ください","未定","自力での納品可","無","無","有","1つ1つ正確に計量し袋詰めします。輪ゴム以外の商品の袋詰めもお気軽にご相談ください。"
"2","HOPE神田","一般社団法人ホープＩＴ訓練センター","千代田区","03-5256-1411","山本","http://www.hope-it.or.jp/","info@hope-it.or.jp","訂正シール貼り","その他","100枚","4500枚","ご相談ください","未定","自力での納品可","無","有","有","丁寧に作業します。納期・枚数もお気軽にご相談ください。"
"3","HOPE神田","一般社団法人ホープＩＴ訓練センター","千代田区","03-5256-1411","山本","http://www.hope-it.or.jp/","info@hope-it.or.jp","データ入力","データ入力","100件","1500件","ご相談ください","未定","自力での納品可","有","無","無","ダブルチェックを行い、ミスのない納品を行います。実績が認められ連続で発注いただいています。"
"4","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","データ入力","データ入力","50","1000","要相談","3円～／1項","自力での納品可","無","無","有","名刺・カルテなどの顧客データ入力、アンケート集計、手書き文章などのデータ化など、PCを使ったさまざまなデータ入力作業を請け負っています。"
"5","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","商品の検品・封入","箱・袋詰め","50","1000","要相談","1円～／1工程","発注元による回収希望","無","無","有","製品の検品、封入、発送までの全ての工程を請負っております。単価に関しましては案件ごとに異なりますので、お気軽にご相談ください。"
"6","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","名刺作成・印刷","印刷","100","5000","要相談","15円～／1枚","自力での納品可","無","無","有","福祉事業所にて千羽鶴を再生して作成された特別な用紙を使った名刺となります。デザインや文字の構成など、詳細等はお問合せください。"
"7","アイビー","一般社団法人アイビー","中央区","03-6262-8882","高橋","https://www.ivy-b.jp/","info@ivy-b.jp","発送代行業務","封入・封緘","100","1000","要相談","応相談","発注元による回収希望","無","無","有","DMや案内状など、発送物の封入段階からの発送代行を請負っております。単価については案件ごとに異なりますので、ご相談ください。"
"8","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","公園清掃","清掃","","5500m2","1年間","1.5円/m2","","無","有","無","箒。ちりとりによる掃き掃除のほか、ゴミの分別回収、花壇の撒水等を行います。"
"9","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","ビル敷地内清掃","清掃","","2700m2","1年間","1.5円/m2","","無","無","有","箒。ちりとりによる掃き掃除のほか、植栽への撒水等を行います。"
"10","さわやかワーク中央","社会福祉法人中央区社会福祉協議会","中央区","03-3865-3661","和知智一","http://www.shakyo-chuo-city.jp/","sawayaka1@shakyo-chuo-city.jp","住居表示板（大）清掃","清掃","","６～7枚/日","1ヶ月","3000円/枚","","無","有","無","洗剤、専用スプレー等を使って落書き、貼り紙等を落とします。"
