"","診断の有無／１診断されたことがある／男子","診断の有無／１診断されたことがある／女子","診断の有無／１診断されたことがある／性別不明","診断の有無／１診断されたことがある／総数(人数)","診断の有無／１診断されたことがある／総数(割合)","診断の有無／２診断されたことがなし／男子","診断の有無／２診断されたことがなし／女子","診断の有無／２診断されたことがなし／性別不明","診断の有無／２診断されたことがなし／総数(人数)","診断の有無／２診断されたことがなし／総数(割合)","診断の有無／無回答／男子","診断の有無／無回答／女子","診断の有無／無回答／性別不明","診断の有無／無回答／総数(人数)","診断の有無／無回答／総数(割合)"
"１ぜん息、ぜん息性気管支炎、小児ぜん息","166","143","25","334","9.7","1427","1423","195","3045","88.6","22","24","10","56","1.6"
"（再掲） 1回の呼吸器症状","20","18","3","41","1.2","","","","","","","","","",""
"2回以上の呼吸器症状","142","124","21","287","8.4","","","","","","","","","",""
"回数無回答","4","1","1","6","0.2","","","","","","","","","",""
"２食物アレルギー","319","224","36","579","16.9","1280","1342","184","2806","81.7","16","24","10","50","1.5"
"３アトピー性皮膚炎","200","159","28","387","11.3","1387","1408","193","2988","87.0","28","23","9","60","1.7"
"４アレルギー性鼻炎","153","123","30","306","8.9","1433","1435","189","3057","89.0","29","32","11","72","2.1"
"５アレルギー性結膜炎","87","65","14","166","4.8","1498","1492","205","3195","93.0","30","33","11","74","2.2"
"６じんましん","218","185","23","426","12.4","1374","1376","197","2947","85.8","23","29","10","62","1.8"
"７その他のアレルギー疾患","25","18","3","46","1.3","1543","1530","212","3285","95.6","47","42","15","104","3.0"
"何らかのアレルギー疾患の診断あり","697","568","97","1362","39.7","912","1011","127","2050","59.7","6","11","6","23","0.7" 
